Entidad,ID CTT,SNPA01,SNPA02,SNPA03,SNPA04,SNPA05,SNPA06,SNPA07,SNPA08,SNPA09,SNPA10,SNPA11,SNPA12,MI01,MI02,MI03,MI04,MI05,MI06,MI07,MI08,MI09,MI10,FEM01,FEM02,FEM03,FEM04,FEM05,FEM06,FEM07,FEM08
YUCATAN,3310,0.459245351,0.528484593,0.512094152,0.427284882,0.449559515,0.462202491,0.536368984,0.499745333,0.38349408,0.488423183,0.506391493,0.46035492,0.516257836,0.593811416,0.502609245,0.552984091,0.578642136,0.544730142,0.571030605,0.542105275,0.585585312,0.573395344,0.621016716,0.610920746,0.623587721,0.533217139,0.617143082,0.538445446,0.476147045,0.448575063
YUCATAN,3311,0.517876984,0.572297357,0.563779484,0.465431537,0.474903945,0.496015452,0.576561531,0.531976604,0.503095688,0.54510697,0.541913316,0.495700578,0.718967586,0.616737449,0.641472054,0.6325688,0.673355178,0.607963271,0.674432779,0.604316772,0.685192014,0.685029899,0.584383206,0.581891098,0.591187627,0.46424373,0.586723096,0.52601073,0.411447708,0.461747673
YUCATAN,3312,0.519868777,0.576903717,0.554349827,0.430004818,0.466266684,0.486734231,0.57259546,0.514584023,0.497400585,0.519526902,0.556723226,0.517636033,0.607723465,0.5471142,0.596264754,0.602582132,0.601783979,0.592592749,0.658283891,0.645680834,0.568833074,0.656329696,0.546905983,0.531080358,0.552462446,0.441029731,0.54170823,0.52086374,0.366445467,0.443011524
YUCATAN,3313,0.750080151,0.779026686,0.769105458,0.697146594,0.638418856,0.679895252,0.73506338,0.747648274,0.724833331,0.759122577,0.769290324,0.592663112,0.770754923,0.684477103,0.77642033,0.74370769,0.762478235,0.61973901,0.786345788,0.764647002,0.735214892,0.777932954,0.748224189,0.729568665,0.750454403,0.692980889,0.746538508,0.657644853,0.702429139,0.616526525
YUCATAN,3314,0.770053531,0.77679042,0.747905868,0.721577146,0.70322051,0.708240685,0.758002575,0.714659866,0.67096321,0.651721775,0.773164353,0.563018915,0.865943492,0.759767082,0.798566499,0.772162075,0.814344512,0.681801679,0.821168628,0.708308855,0.813951288,0.805364731,0.664273909,0.634747693,0.672774468,0.636885443,0.641196828,0.623278588,0.6033225,0.548128478
YUCATAN,3315,0.513909714,0.583255922,0.575395361,0.459508246,0.508663114,0.523693016,0.579390042,0.562884874,0.445996806,0.554541854,0.51588533,0.474514788,0.667040794,0.545762838,0.636083408,0.599039523,0.638174673,0.562013432,0.659926334,0.657564748,0.631252723,0.651533365,0.602198689,0.551556048,0.59501888,0.519072513,0.577842908,0.547677093,0.453022443,0.479531562
YUCATAN,3316,0.742916392,0.768899147,0.742307941,0.664308829,0.721597278,0.723967352,0.701171236,0.698372149,0.693226407,0.667858636,0.747205083,0.586412674,0.914475024,0.760193258,0.829484852,0.809304729,0.838644818,0.755681796,0.864808093,0.833937373,0.868976508,0.846579851,0.721284398,0.68278782,0.741040031,0.73036744,0.713526308,0.69330525,0.715007265,0.673286728
YUCATAN,3317,0.634910726,0.672544952,0.649126609,0.586775297,0.6100782,0.625969214,0.653599283,0.590844771,0.542794203,0.634146499,0.655485554,0.584553172,0.512015158,0.593559959,0.593184509,0.580851134,0.610212385,0.577805327,0.621127788,0.620009474,0.550827766,0.625288597,0.569122999,0.552756348,0.573083603,0.432910422,0.554413713,0.514170219,0.416520102,0.472211318
YUCATAN,3318,0.570491249,0.607971577,0.582654065,0.482655989,0.550040471,0.542950484,0.549991934,0.572282007,0.530488052,0.56628812,0.573009331,0.50675357,0.650269804,0.584207,0.624242868,0.573511992,0.629439206,0.547349635,0.659439593,0.645536261,0.635720174,0.662992104,0.589022825,0.555761189,0.573449654,0.498206282,0.560668338,0.498677603,0.490122102,0.484304691
YUCATAN,3319,0.468732572,0.546416704,0.532231902,0.437809004,0.476051329,0.490143427,0.54390451,0.505909462,0.335665996,0.530906356,0.518882716,0.492017638,0.681542277,0.617774022,0.601435658,0.611094462,0.640149119,0.5774513,0.665291184,0.599499916,0.663504654,0.679264074,0.61369195,0.593138781,0.611064316,0.509430219,0.589688533,0.537200953,0.470835915,0.485212304
