trial,money_left,proba_left,money_right,proba_right,choiceP,biggerchosenP,pairP,time,date
259,1773,10,788,60,right,1,5,1.962,Wed May 24 13:46:33 2017
260,591,70,788,60,right,0,31,3.885,Wed May 24 13:46:37 2017
261,197,90,1182,40,right,0,26,2.518,Wed May 24 13:46:40 2017
262,1379,30,1773,10,left,1,2,2.771,Wed May 24 13:46:44 2017
263,1182,40,1379,30,left,1,16,5.363,Wed May 24 13:46:49 2017
264,788,60,1773,10,left,1,5,3.884,Wed May 24 13:46:54 2017
265,591,70,394,80,left,0,34,5.331,Wed May 24 13:47:00 2017
266,1182,40,788,60,left,0,23,17.854,Wed May 24 13:47:18 2017
267,1773,10,394,80,right,1,7,1.582,Wed May 24 13:47:20 2017
268,394,80,1773,10,left,1,7,5.211,Wed May 24 13:47:26 2017
269,985,50,1379,30,right,0,17,2.549,Wed May 24 13:47:29 2017
270,788,60,1576,20,right,0,12,2.281,Wed May 24 13:47:31 2017
271,1379,30,1576,20,left,1,9,3.111,Wed May 24 13:47:35 2017
272,394,80,197,90,left,0,36,2.828,Wed May 24 13:47:38 2017
273,788,60,591,70,right,1,31,2.968,Wed May 24 13:47:42 2017
274,1182,40,197,90,left,0,26,1.312,Wed May 24 13:47:43 2017
275,1773,10,1379,30,right,1,2,3.254,Wed May 24 13:47:47 2017
276,1379,30,985,50,left,0,17,1.966,Wed May 24 13:47:49 2017
277,197,90,1379,30,right,0,21,1.205,Wed May 24 13:47:51 2017
278,1379,30,788,60,left,0,18,2.24,Wed May 24 13:47:54 2017
279,1576,20,985,50,left,0,11,3.797,Wed May 24 13:47:58 2017
280,1773,10,1182,40,right,1,3,2.533,Wed May 24 13:48:01 2017
281,1773,10,985,50,right,1,4,7.597,Wed May 24 13:48:09 2017
282,591,70,1379,30,right,0,19,2.826,Wed May 24 13:48:12 2017
283,1576,20,394,80,left,0,14,2.61,Wed May 24 13:48:15 2017
284,1379,30,197,90,left,0,21,2.758,Wed May 24 13:48:18 2017
285,1576,20,591,70,left,0,13,2.736,Wed May 24 13:48:21 2017
286,591,70,1773,10,left,1,6,2.25,Wed May 24 13:48:24 2017
287,1182,40,1773,10,left,1,3,2.954,Wed May 24 13:48:28 2017
288,197,90,788,60,right,0,33,2.437,Wed May 24 13:48:31 2017
289,788,60,591,70,left,0,31,5.054,Wed May 24 13:48:37 2017
290,1576,20,394,80,left,0,14,3.644,Wed May 24 13:48:41 2017
291,197,90,1379,30,right,0,21,8.222,Wed May 24 13:48:50 2017
292,985,50,1576,20,right,0,11,5.738,Wed May 24 13:48:57 2017
293,985,50,1576,20,right,0,11,6.629,Wed May 24 13:49:04 2017
294,1379,30,591,70,right,1,19,4.36,Wed May 24 13:49:09 2017
295,1773,10,1576,20,right,1,1,8.147,Wed May 24 13:49:18 2017
296,1773,10,1182,40,right,1,3,2.747,Wed May 24 13:49:21 2017
297,591,70,197,90,left,0,35,3.574,Wed May 24 13:49:27 2017
298,591,70,985,50,left,1,28,4.277,Wed May 24 13:49:32 2017
299,591,70,1773,10,right,0,6,9.308,Wed May 24 13:49:42 2017
300,1182,40,1773,10,left,1,3,2.756,Wed May 24 13:49:45 2017
301,788,60,1182,40,right,0,23,2.593,Wed May 24 13:49:48 2017
302,985,50,788,60,left,0,27,3.675,Wed May 24 13:49:52 2017
303,1182,40,197,90,left,0,26,2.055,Wed May 24 13:49:55 2017
304,1182,40,591,70,right,1,24,1.826,Wed May 24 13:49:57 2017
305,1182,40,591,70,left,0,24,5.871,Wed May 24 13:50:04 2017
306,197,90,985,50,right,0,30,1.575,Wed May 24 13:50:05 2017
307,1773,10,197,90,left,0,8,7.448,Wed May 24 13:50:14 2017
308,1576,20,591,70,left,0,13,4.81,Wed May 24 13:50:19 2017
309,591,70,1773,10,left,1,6,2.614,Wed May 24 13:50:22 2017
310,1182,40,591,70,left,0,24,6.508,Wed May 24 13:50:30 2017
311,1576,20,1379,30,left,0,9,5.569,Wed May 24 13:50:36 2017
312,394,80,788,60,left,1,32,3.721,Wed May 24 13:50:40 2017
313,788,60,1773,10,left,1,5,13.984,Wed May 24 13:50:54 2017
314,985,50,1182,40,right,0,22,2.479,Wed May 24 13:50:57 2017
315,1576,20,985,50,left,0,11,2.559,Wed May 24 13:51:01 2017
316,1379,30,788,60,left,0,18,2.745,Wed May 24 13:51:04 2017
317,197,90,1773,10,right,0,8,5.084,Wed May 24 13:51:10 2017
318,1182,40,1576,20,left,1,10,2.953,Wed May 24 13:51:19 2017
319,1182,40,1576,20,right,0,10,4.405,Wed May 24 13:51:24 2017
