ITEM,Clave item,Opción,Score,Frecuencia,% del total,Punto Biserial,t(p),PV1Avg:1,PV1 SD:1
item 43,PMB18,a,0,9163,30.5,-0.05,-8.07(.000),-0.27,0.80
item 43,PMB18,b,0,6559,21.9,-0.27,-48.18(.000),-0.63,0.67
item 43,PMB18,c,1,9153,30.5,0.28,51.49(.000),0.17,0.98
item 43,PMB18,d,0,4810,16.0,0.02,2.61(.009),-0.18,0.89
item 44,PMB19,M,0,261,0.9,-0.04,-7.11(.000),-0.57,0.76
item 44,PMB19,a,0,6201,20.7,-0.18,-31.60(.000),-0.50,0.70
item 44,PMB19,b,0,8383,27.9,-0.22,-38.89(.000),-0.50,0.69
item 44,PMB19,c,0,4675,15.6,-0.18,-30.90(.000),-0.55,0.70
item 44,PMB19,d,1,10480,34.9,0.5,100.07(.000),0.37,0.94
item 45,PMB20,M,0,441,1.5,-0.04,-7.58(.000),-0.51,0.81
item 45,PMB20,a,0,5877,19.6,-0.13,-22.68(.000),-0.42,0.80
item 45,PMB20,b,0,6067,20.2,-0.23,-41.63(.000),-0.59,0.69
item 45,PMB20,c,0,6354,21.2,-0.12,-20.44(.000),-0.40,0.75
item 45,PMB20,d,1,11261,37.5,0.41,77.87(.000),0.24,0.94
item 46,PMB21,M,0,437,1.5,-0.03,-5.76(.000),-0.44,0.83
item 46,PMB21,a,0,5914,19.7,-0.21,-37.22(.000),-0.56,0.70
item 46,PMB21,b,1,14471,48.2,0.4,76.70(.000),0.15,0.93
item 46,PMB21,c,0,5473,18.2,-0.17,-30.30(.000),-0.51,0.74
item 46,PMB21,d,0,3705,12.4,-0.15,-25.66(.000),-0.53,0.73
