,DG1,DG2,DG3,DG4,DG5,DG6,DG7,DG8,DG9,DG10,DG11,DG12,P1,P2,P3
354,F,A,B,A,A,A,,E,B,A,A,A,A,B,C
356,F,A,B,A,A,C,,E,B,A,,D,A,B,C
357,F,B,B,A,A,C,,E,B,A,A,,D,A,B
358,F,A,B,A,A,C,,E,B,A,A,B,A,A,D
359,F,A,B,A,A,B,,E,B,A,B,D,A,B,C
360,M,B,B,A,A,D,,E,B,A,B,D,A,B,C
361,F,B,B,A,A,B,,E,B,A,A,D,A,B,C
362,M,C,B,A,A,C,,E,A,B,B,B,A,B,C
363,F,A,B,A,A,C,,E,B,A,B,B,A,B,C
364,F,A,B,A,A,C,,E,B,A,C,D,A,B,C
365,F,A,B,A,A,D,,E,B,A,A,C,A,B,C
367,F,D,B,A,A,C,,E,A,C,B,C,A,B,C
368,F,A,B,A,,,,E,A,,A,C,A,B,C
369,F,D,,A,A,B,,E,A,B,A,D,A,,D
370,M,B,B,A,A,B,,E,A,C,A,D,,B,C
371,M,A,B,A,A,B,,E,B,A,A,B,A,B,C
373,M,B,B,A,A,A,B,E,B,A,,B,A,B,C
374,F,B,B,A,A,C,,E,B,A,A,D,A,B,C
375,F,A,B,A,A,C,,E,B,A,A,D,A,B,B
376,M,A,B,A,A,B,,E,B,A,A,B,A,A,C
377,F,C,B,A,A,B,,E,A,C,B,C,D,B,C
378,F,A,B,A,A,B,,E,B,A,B,B,A,B,C
379,M,A,B,A,A,,,E,B,A,B,B,A,B,C
380,F,A,B,B,A,C,,,B,A,D,B,A,D,C
381,M,B,B,A,A,B,,E,A,B,B,D,A,A,C
382,F,A,B,A,A,C,F,E,B,A,A,D,,,
383,F,A,B,A,A,A,,E,B,A,B,C,A,,C
384,F,A,B,A,A,C,,E,B,A,A,D,A,B,C
385,M,B,B,A,A,C,,,B,A,A,D,A,B,C
386,M,B,B,A,A,A,A,,B,,,D,A,B,C
387,M,A,B,A,A,B,C,E,A,C,B,B,A,C,C
390,F,A,B,A,A,B,,E,A,C,A,C,A,D,C
391,F,C,C,A,A,B,C,E,B,A,A,C,A,C,C
393,F,A,B,A,A,B,B,E,A,A,C,D,A,B,C
394,M,B,B,A,A,B,,E,B,A,B,B,A,B,C
395,M,A,B,A,A,C,,E,B,A,A,D,A,B,C
396,F,B,B,A,A,C,,E,B,A,B,B,A,B,C
397,F,A,B,A,A,B,,E,B,A,B,A,A,C,C
398,M,B,B,A,A,B,,E,A,C,B,B,A,B,C
399,M,C,B,A,A,B,,E,A,C,D,D,A,C,C
400,M,C,B,A,A,C,,E,A,C,B,D,,,C
402,F,A,B,A,A,C,,E,B,A,,D,A,B,C
403,F,A,C,A,A,B,,E,B,A,,D,A,B,A
404,M,A,B,A,A,C,,E,A,C,A,B,,,C
406,,A,B,B,A,A,B,*,B,A,B,,A,B,C
407,F,A,B,A,A,C,,E,B,A,,,A,B,C
