,Alc1,Alc2,Alc3,Alc4,Alc5,Alc6,Alc7,Alc8,Alc9,Alc10,Alc11,Alc12,Alc13,Alc14,Alc15,Alc16,Alc17,Alc18,Alc19,Alc20,Alc21,Alc22,Alc23,Alc24,Alc25,Alc26,Alc27,Alc28,Alc29,Alc30,Alc31,Alc32,Alc33A,Alc33B,Alc33C,Alc33D,Alc33E,Alc34,Alc35,Alc36,Alc37,Alc38,Alc39,Alc40,Alc41,Alc42,Alc43,Alc44,Alc45,Alc46,Alc47,Alc48,Alc49,Alc50,Alc51,Alc52,Alc53,Alc54,Alc55A,Alc55B,Alc55C,Alc55D,Alc56,Alc57,Alc58,Alc59,Alc60,Alc61,Alc62,Alc63,Alc64,Alc65,Alc66,Alc67,Alc68,Alc69,Alc70
271,B,C,B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,A,C,A,A,B,C,,,C,A,C,B,C,D,B,D,D,D,D,D,D,D,D,D,D,A,D,D,F,A,,,,D,E,D,D,D,D,D,D,E,E,D,D,D,D,D
272,B,C,C,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,C,,,C,D,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,A,C,D,E,,,,D,E,E,E,E,E,E,E,A,B,F,D,E,F,F,E
273,B,C,C,B,A,B,B,B,C,B,B,B,B,B,B,B,C,B,B,B,B,C,C,C,C,B,B,C,C,B,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,A,A,I,,,,D,E,E,E,E,E,E,E,A,A,F,B,E,E,E,E
274,B,D,A,B,C,A,B,B,B,C,A,B,C,A,C,A,D,C,B,B,C,A,C,A,B,C,B,C,C,F,D,D,,,,D,,A,B,C,C,D,A,B,C,D,A,D,A,C,D,C,B,A,B,C,D,F,,,,D,A,D,C,E,A,C,D,A,E,C,D,C,B,E,D
275,A,C,B,D,A,C,B,D,A,C,B,D,B,C,A,C,B,D,A,C,A,C,B,D,A,C,B,D,B,A,B,C,A,,,,,B,E,D,F,B,D,B,A,D,C,D,B,A,B,C,B,C,E,C,A,F,,,,D,B,E,D,E,D,C,B,E,D,C,D,C,E,F,E
276,,D,D,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,B,B,B,,,C,,,C,D,D,B,C,C,C,C,C,C,C,C,C,C,C,C,C,D,B,D,H,,B,,,B,B,B,C,C,B,B,F,E,C,B,B,C,B,C
277,A,B,B,C,D,C,C,C,C,D,C,D,D,D,C,D,A,B,C,A,C,B,C,B,A,A,A,A,A,D,C,C,,,,D,,B,D,B,D,B,D,B,D,A,A,C,B,C,B,C,D,A,C,C,D,B,,,,D,B,D,A,A,C,D,A,C,E,A,D,B,E,B,E
278,A,C,B,B,B,C,C,D,D,C,D,D,C,C,C,D,C,B,C,B,D,C,C,D,B,C,D,C,B,C,A,E,,,,D,,C,D,D,F,C,C,B,C,D,D,C,D,D,C,C,C,D,C,B,B,B,,,,D,C,D,C,C,B,B,D,B,F,D,C,B,C,C,B
279,A,C,C,C,B,C,C,D,C,C,C,C,D,D,D,D,D,B,D,D,C,C,B,C,B,C,B,C,C,C,B,B,A,,C,,,C,B,C,A,D,D,D,D,D,D,C,C,D,C,D,C,D,A,C,D,E,,,,D,D,D,D,C,C,D,A,E,E,D,B,C,F,F,E
280,B,A,A,D,D,D,D,D,D,D,D,D,D,D,D,D,B,B,C,C,A,C,C,C,B,C,B,C,C,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,E,E,E,E,E,E,A,A,F,D,E,E,E,E
281,B,C,C,A,B,B,B,B,A,A,A,A,A,A,B,B,A,A,C,B,B,B,B,B,A,A,B,C,C,F,D,F,,,,,E,E,E,E,F,D,D,D,A,B,B,B,B,B,C,C,C,C,C,D,,I,A,,,,E,D,D,E,D,E,E,E,F,E,D,E,F,F,E
282,A,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C,D,B,A,A,,,,,C,A,D,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,G,A,,,,C,A,C,C,C,C,C,A,A,A,A,D,F,F,A
283,B,C,A,B,B,B,B,C,D,C,C,A,C,A,,A,C,B,C,B,B,D,D,D,B,C,C,C,A,A,C,F,,,,,E,C,E,E,A,D,D,B,B,C,D,C,C,D,C,D,C,C,B,D,A,F,,,,D,E,E,E,E,E,E,E,A,A,F,D,E,E,E,E
284,A,D,D,B,B,B,B,B,B,B,B,B,B,B,,B,C,C,C,C,C,C,C,C,C,C,C,C,C,B,B,D,,,C,,,C,D,C,F,B,B,B,B,B,B,B,B,B,B,B,B,B,A,C,D,B,,,,D,E,E,E,E,E,E,E,A,F,F,C,E,C,C,C
285,B,D,A,A,B,C,D,B,B,D,A,C,A,D,B,A,C,B,A,D,B,C,A,C,D,A,A,C,B,F,C,F,,,,,E,B,D,B,D,B,A,D,C,B,A,B,D,B,D,C,B,C,A,D,B,C,A,,,,B,B,E,C,D,B,C,D,C,D,B,C,E,B,E
286,B,C,B,B,A,A,A,A,B,A,B,A,A,A,B,A,C,A,B,B,A,B,B,A,A,B,B,A,C,C,C,A,,B,,,,C,B,B,A,B,C,A,B,C,C,B,B,D,B,C,B,D,A,D,D,I,,,,D,E,C,E,E,E,E,E,A,*,F,D,E,E,E,E
287,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,D,A,A,,C,,,C,B,C,A,C,C,C,C,C,C,C,C,C,C,C,C,C,A,C,B,I,A,,,,E,E,E,E,E,E,E,A,A,A,A,A,A,A,A
288,B,A,D,D,D,D,D,D,D,D,D,D,D,D,D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,A,E,E,E,E,E,A,A,F,A,A,A,E,E,E
289,B,A,C,D,A,D,A,A,D,D,A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,F,D,F,,,,,E,,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,A,E,E,E,E,E,A,A,A,A,E,E,E,E
290,B,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,C,A,C,A,A,D,D,C,B,C,D,D,B,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,A,E,E,E,E,E,A,A,F,A,E,E,E,E
291,A,D,D,D,D,A,D,A,A,A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,F,D,D,,,,D,,D,D,D,E,D,D,A,A,B,,B,B,B,D,C,B,C,A,C,B,F,,,C,,B,A,C,D,D,D,D,D,B,C,C,B,E,D,C
292,B,B,B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,A,A,A,A,A,A,A,A,A,A,A,A,C,B,B,,,,D,,C,B,B,C,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,H,,,,D,E,E,E,E,E,E,E,F,F,D,D,D,D,D,D
293,A,D,A,A,B,A,C,A,A,B,B,A,B,B,A,B,C,C,C,C,C,C,C,C,C,C,C,C,C,B,B,C,A,B,C,,,C,D,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,A,A,A,H,A,,,,D,D,D,D,D,D,D,F,F,E,C,D,D,D,D
294,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,C,C,,B,,,,C,B,C,B,D,D,D,D,D,D,D,D,D,D,D,D,D,A,A,D,E,A,,,,D,A,D,D,D,D,D,A,A,C,C,D,C,B,B
295,A,D,A,B,C,B,B,A,C,A,C,A,A,A,B,B,D,B,C,B,B,C,A,C,B,B,A,B,A,B,A,D,,,C,D,,C,D,D,F,A,D,B,C,C,B,A,C,C,B,A,B,C,A,A,D,H,A,,,,B,D,D,D,B,D,D,B,F,E,C,C,C,C,D
296,B,A,A,B,B,B,C,B,C,B,A,A,B,B,B,C,C,C,B,A,A,B,B,A,B,C,C,C,B,B,D,C,,,,,E,E,E,E,A,B,B,A,B,C,C,B,B,C,B,B,B,D,A,A,A,I,,,C,,E,E,E,B,B,B,C,C,,A,A,E,E,E,E
297,A,C,B,C,B,A,C,B,D,,C,D,B,A,D,,A,,D,B,A,,,,,,,D,B,C,A,D,,B,,,,,A,D,,,D,B,,A,C,B,A,D,B,,A,C,,,B,C,,B,,,C,A,D,,,B,,A,,,,B,D,A,D
298,A,B,A,A,B,A,B,A,D,D,A,B,C,B,C,A,C,D,B,A,C,A,C,A,C,A,C,A,C,C,C,C,A,,,,,C,A,C,B,D,D,B,B,B,B,B,C,A,D,A,B,A,B,A,C,D,,B,,,C,B,C,B,C,B,C,B,C,B,C,B,D,B,C
299,A,D,A,B,A,B,C,D,C,B,C,B,C,C,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,A,,B,C,,,C,B,D,E,A,B,A,C,D,C,A,D,D,A,C,A,D,A,C,D,F,A,,,,D,D,C,D,D,D,C,A,E,B,C,B,D,B,D
300,A,C,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,D,B,,,,D,,C,E,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,C,B,F,,B,,,C,B,C,D,C,D,D,D,D,B,B,D,C,C,D
301,A,D,A,B,B,B,A,D,D,C,B,B,A,D,B,D,C,A,C,A,A,C,B,A,C,C,A,C,A,B,B,A,A,,C,,,C,D,C,C,B,B,B,B,D,D,B,A,D,B,D,B,D,B,B,B,C,,,,D,C,C,B,C,B,C,B,C,E,D,C,B,C,B,B
302,B,B,C,B,C,C,C,B,C,D,B,B,B,B,B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,F,D,F,,,,,E,E,E,E,F,D,D,D,D,D,D,D,D,D,D,D,D,D,E,D,D,I,,,,D,E,E,E,E,E,E,E,A,A,A,A,A,A,A,A
303,B,A,B,D,D,D,D,D,C,C,D,D,D,D,D,B,C,B,D,B,D,D,D,D,D,D,D,D,D,F,D,E,,,,,E,E,E,E,E,D,C,B,B,B,B,C,A,C,A,C,D,B,E,A,C,A,,B,,,B,B,E,E,E,E,E,F,F,F,B,C,F,F,E
304,B,B,C,C,A,B,A,A,C,A,B,B,D,C,C,D,C,B,A,A,B,C,A,A,A,B,C,D,B,B,D,A,A,,C,,,E,B,D,C,D,D,C,A,A,B,C,D,B,C,B,D,D,E,D,B,G,A,,,,E,C,E,E,E,E,D,B,B,A,A,C,D,B,B
305,A,C,B,B,A,B,A,A,C,C,C,A,C,A,D,B,C,A,C,A,A,C,A,A,C,A,A,C,A,B,B,B,A,,C,,,C,C,D,B,B,D,C,C,D,C,C,D,D,C,C,C,D,A,C,D,H,A,,,,D,C,C,A,A,D,A,D,D,D,C,B,F,F,C
306,B,D,D,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,B,C,C,B,B,B,B,C,C,B,C,F,D,F,,,,,E,E,E,E,B,C,C,C,C,C,B,C,B,B,C,C,C,B,B,C,B,G,,,,D,E,E,E,E,E,E,E,A,B,A,A,E,F,F,E
307,A,C,B,C,B,A,A,A,A,A,,B,C,C,,B,B,C,B,C,B,C,C,B,C,B,C,,C,B,C,C,,B,,,,D,B,C,B,C,A,B,A,B,B,A,B,B,C,D,A,C,A,B,C,A,,,C,,A,C,C,A,B,C,A,C,A,C,A,C,B,C,C
308,A,D,A,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,C,,B,,,,C,D,B,E,C,A,C,B,D,B,B,B,B,A,C,C,C,B,B,B,A,,,C,,A,B,C,B,B,C,D,C,A,C,C,C,D,E,E
309,B,C,C,D,C,D,C,B,C,D,C,B,,C,D,B,D,A,C,D,C,B,C,D,B,D,C,D,D,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,A,E,E,E,E,E,A,A,A,D,E,F,F,E
310,A,B,B,C,C,C,D,C,C,A,A,B,C,D,D,B,C,D,C,B,A,C,D,C,B,B,B,B,B,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,E,A,,,,E,A,E,E,E,E,E,A,A,A,D,E,F,F,E
311,A,C,B,B,A,B,A,A,B,C,B,B,B,B,B,B,C,B,A,A,B,A,B,A,A,B,A,A,A,B,A,C,,,,D,,C,D,C,D,B,A,A,B,A,B,B,B,B,B,A,B,B,D,B,B,C,,,,D,B,B,B,B,B,B,C,E,C,C,C,A,B,A,A
312,B,C,D,A,A,B,A,A,C,A,A,A,A,C,D,A,D,A,A,A,A,D,A,A,D,A,D,D,A,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,A,E,E,E,E,E,A,A,F,D,E,E,E,E
313,A,B,B,B,C,B,C,C,C,C,D,D,B,D,C,C,B,B,B,B,B,B,B,B,B,B,B,B,B,C,B,A,A,,C,,,C,B,C,A,B,D,B,D,D,D,C,D,D,D,D,C,D,A,D,D,D,A,,,,D,E,D,D,C,D,B,A,A,A,A,D,F,F,D
314,B,C,C,D,A,D,A,D,D,D,B,D,D,B,D,D,D,D,D,A,D,D,D,A,D,D,C,D,D,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,E,E,E,E,E,E,A,A,F,D,E,A,A,E
315,A,D,A,B,B,B,B,B,B,B,B,B,B,B,B,B,D,D,D,D,D,D,D,D,D,D,D,D,D,C,B,E,A,B,C,,,C,A,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,A,A,A,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
316,B,B,D,B,B,C,A,A,D,D,A,A,D,A,C,C,A,C,A,C,A,C,B,C,A,D,A,C,A,F,D,F,,,,,E,E,E,E,F,A,D,D,D,D,D,D,D,D,D,D,D,D,A,D,A,,,,,,,,,,,,,,,,,,,,
317,B,B,B,D,A,D,A,D,D,D,A,D,D,D,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,A,E,E,E,E,E,A,A,F,A,E,,,E
318,B,D,A,B,B,C,B,C,C,C,C,B,B,B,C,C,B,B,A,B,B,A,B,A,A,A,B,B,B,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,,,,D,E,E,E,E,E,E,E,A,A,F,D,E,F,F,E
319,B,B,D,B,A,D,A,D,D,D,A,D,D,D,D,D,D,A,D,A,A,D,D,A,A,D,D,D,A,C,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,B,D,D,I,,,,D,E,A,E,E,E,E,E,A,A,F,D,E,E,E,E
320,B,C,C,D,D,D,D,D,C,C,C,D,B,D,D,D,B,B,B,B,B,B,B,B,B,B,B,B,B,C,B,A,,,C,,,C,A,B,B,B,D,B,D,D,D,B,C,D,B,D,D,D,A,D,C,G,A,,,,A,A,A,A,A,C,B,A,B,A,B,B,B,C,B
321,A,C,B,C,B,B,B,C,C,C,D,B,C,B,B,D,D,C,B,C,C,C,C,C,C,C,B,C,D,B,B,B,A,,,,,C,D,D,E,B,C,B,B,C,B,B,B,C,C,B,B,C,A,B,B,H,A,,,,C,C,C,C,C,B,C,B,C,C,B,B,C,B,C
322,B,C,C,D,D,D,D,D,D,D,D,D,D,D,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,B,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,A,E,E,E,E,E,A,A,F,A,E,E,E,E
323,A,D,A,B,B,B,A,B,C,B,C,B,B,B,C,B,C,B,C,B,B,C,C,D,B,C,B,C,B,A,A,D,,,,D,,C,D,D,F,A,C,A,C,C,C,B,D,C,B,C,D,B,A,B,C,B,,,,D,D,A,C,B,B,D,C,C,F,A,B,B,B,B,C
324,B,C,D,B,B,C,B,B,C,C,A,B,B,C,B,A,D,A,D,C,C,C,D,A,A,C,D,D,C,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,C,D,D,D,D,D,A,D,D,I,A,,,,B,E,E,E,E,E,E,A,A,F,A,E,E,E,E
325,B,B,A,C,B,C,B,C,D,C,C,D,C,D,C,B,D,C,D,D,B,D,B,C,D,C,B,C,B,F,D,A,A,,,,,D,D,D,D,D,D,D,C,D,D,C,D,D,D,D,D,D,A,D,D,I,A,,,,E,E,E,E,E,E,E,A,A,A,C,E,E,E,E
326,B,A,A,D,B,C,B,A,D,C,C,B,C,D,B,A,B,B,C,B,B,B,B,B,B,B,B,B,B,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,A,I,A,,,,E,A,E,E,E,E,E,A,A,F,,E,E,E,E
328,B,B,B,B,B,B,A,B,B,B,C,B,B,B,A,B,B,C,C,C,C,C,B,B,C,B,C,B,C,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,C,,I,A,,,,E,A,E,E,E,E,E,A,A,F,A,E,E,E,E
329,B,A,C,D,A,B,A,A,C,C,C,B,C,C,B,A,D,C,C,C,C,C,C,B,C,D,C,C,C,F,D,F,,,,,E,E,E,E,A,B,B,D,D,D,D,D,D,D,D,D,D,D,A,B,D,I,A,,,,E,E,E,E,E,E,E,A,A,F,A,E,E,E,E
330,A,B,C,B,B,B,B,C,B,B,C,C,B,B,D,B,A,A,A,B,D,A,B,B,B,A,B,D,D,B,C,A,,,,D,,C,B,C,F,C,B,A,C,B,A,C,B,C,A,D,B,A,B,C,C,I,,B,,,C,B,E,E,E,E,E,A,A,E,C,E,E,E,E
332,A,C,C,B,C,B,B,C,D,D,D,D,C,D,B,D,C,B,D,A,A,D,C,D,A,C,A,C,A,B,C,B,,,C,,,C,C,B,D,A,D,B,A,D,D,D,D,D,D,D,B,D,A,B,B,B,A,,,,D,D,D,D,D,D,C,A,C,A,B,C,B,C,C
333,B,B,C,A,A,A,A,A,A,A,A,A,A,A,A,A,C,B,C,C,C,D,B,C,D,D,D,D,D,B,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,A,I,,,,D,E,B,B,E,E,E,E,A,A,F,B,E,A,A,A
334,B,A,C,C,A,C,A,A,D,C,A,A,C,A,D,A,D,A,D,A,A,D,D,A,A,D,A,D,A,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,A,E,E,E,E,E,A,A,F,A,E,E,E,E
335,A,B,D,D,B,C,D,D,D,A,D,A,A,D,D,D,D,B,A,D,C,D,C,D,C,D,C,D,C,B,B,C,,,,D,,D,D,C,A,A,D,C,D,D,D,C,D,C,D,C,D,C,E,D,D,H,,,,D,D,E,D,E,D,D,D,D,D,E,D,E,F,E,E
336,A,C,C,C,C,C,C,C,D,D,D,D,D,B,C,D,C,C,C,C,C,C,C,C,B,C,C,C,B,C,C,A,A,,C,,,C,A,D,A,C,C,C,D,C,C,D,B,C,C,C,C,C,A,C,C,F,,,,D,C,A,A,B,B,D,B,B,A,A,A,A,*,F,A
337,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,F,D,F,,,,,E,E,E,E,*,D,D,D,D,D,D,D,D,D,D,D,D,D,E,D,D,I,A,,,,E,E,E,E,E,E,E,A,A,F,D,E,E,E,E
340,B,B,C,C,C,B,C,D,C,B,B,B,C,C,B,B,C,B,B,C,B,B,C,B,A,A,B,B,C,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,A,I,A,,,,E,A,E,E,E,E,E,A,A,F,A,E,E,E,E
343,A,A,A,B,A,B,A,B,D,D,C,B,D,D,B,D,B,A,C,A,A,D,C,C,A,C,A,B,D,B,A,B,,,,D,,C,D,D,A,B,B,C,C,D,D,D,C,D,D,D,B,D,A,B,C,H,A,,,,B,A,B,C,D,C,B,B,C,A,B,C,A,B,B
344,B,B,A,D,A,C,A,A,C,C,B,A,C,B,C,A,B,B,A,D,A,C,A,A,C,C,B,A,C,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,A,I,A,,,D,E,E,E,E,E,E,E,A,A,F,D,E,E,E,E
346,B,A,C,B,A,B,A,B,D,D,B,B,D,D,A,D,D,B,C,A,B,D,D,D,B,D,D,D,D,B,D,F,,,,,E,E,E,E,B,C,D,D,D,D,D,D,C,D,D,D,D,D,B,D,A,G,,,,D,E,A,E,E,E,E,E,B,A,A,B,E,E,E,E
347,B,D,C,D,A,D,B,A,D,D,C,D,C,D,C,C,C,B,C,B,B,D,C,C,A,C,D,C,B,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,A,E,E,E,E,E,A,A,F,A,E,E,E,E
348,B,C,C,C,B,C,A,B,C,B,B,B,C,C,B,A,B,A,C,A,B,C,B,B,B,C,D,B,B,B,D,F,A,,,,,E,A,D,B,D,B,C,D,D,D,C,B,D,D,D,C,D,A,D,D,G,A,,,,E,B,E,E,E,E,E,A,A,C,D,A,A,F,E
349,A,C,B,B,A,A,B,A,A,D,B,A,B,A,D,D,C,A,A,C,B,A,D,B,A,C,A,D,D,B,A,C,A,,C,,,C,D,D,F,A,B,A,C,A,A,D,A,B,A,A,A,D,A,B,D,H,A,,,,D,E,D,D,D,D,D,F,F,E,C,A,F,A,A
351,B,C,B,A,A,D,A,A,D,D,A,C,C,D,D,A,A,A,C,D,B,B,B,B,B,B,C,D,D,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,E,E,E,E,E,E,A,A,F,D,E,F,F,E
352,B,C,C,D,A,C,A,A,D,C,A,A,C,A,D,B,D,A,D,A,D,D,D,B,A,C,D,D,D,F,,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,A,E,E,E,E,E,A,A,F,D,E,E,E,E
353,B,A,C,D,B,C,A,A,D,D,A,A,D,A,C,A,B,A,C,A,A,C,C,B,A,C,B,C,A,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,A,I,A,,,,E,E,E,E,E,E,E,A,A,F,A,E,E,E,E
354,A,D,A,D,D,C,A,D,D,D,D,C,D,C,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,B,C,E,A,,,,,C,D,D,B,D,D,D,D,D,D,D,D,D,D,D,D,D,A,C,D,H,A,,,,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
356,B,B,A,C,A,D,A,A,C,A,A,A,A,A,A,A,C,A,C,A,A,D,A,A,A,C,A,A,A,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,,B,D,A,,,,D,E,B,E,E,E,E,E,A,A,F,A,E,,,E
357,A,B,D,C,C,C,B,D,D,D,B,D,C,D,C,D,C,C,C,B,C,D,D,C,D,D,D,C,D,C,C,A,,B,,,,C,B,B,B,B,C,C,B,B,D,C,B,C,B,D,C,C,D,C,D,C,,,,D,D,C,C,B,B,C,C,B,C,C,C,B,D,D,E
358,B,B,B,C,C,B,D,D,D,D,D,D,D,D,D,D,C,D,C,D,D,D,C,D,D,D,D,D,D,F,D,F,,,,,E,E,E,E,F,C,C,C,C,C,D,C,D,D,B,D,A,D,A,D,D,I,,,,,E,A,E,E,E,E,E,A,A,F,B,E,A,A,E
359,B,A,D,D,A,C,A,A,B,D,A,A,C,B,D,D,B,A,C,A,A,B,C,A,A,C,A,C,A,B,D,A,A,B,,,,E,C,D,C,B,D,D,D,D,B,D,A,B,C,D,D,D,E,D,A,G,,,,D,E,E,E,E,E,E,E,B,B,F,A,E,E,E,E
360,A,C,A,C,A,D,D,D,D,D,A,A,A,A,C,A,D,D,D,D,D,D,D,D,D,D,D,D,D,C,B,B,A,,C,,,C,B,D,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,C,G,A,,,,D,A,D,D,D,D,C,A,C,A,D,D,F,F,D
361,B,C,D,D,D,D,B,B,D,D,D,D,D,D,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,C,C,A,,,C,,,C,B,D,B,C,D,C,D,D,D,D,D,D,D,D,D,D,A,C,C,G,A,,,,C,D,D,D,D,D,D,B,B,A,D,C,F,F,D
362,A,C,A,C,B,C,B,C,D,D,D,D,C,D,D,D,D,D,D,D,D,D,C,D,C,D,D,C,C,C,C,B,,,C,,,C,C,D,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,C,B,,,C,,D,D,A,B,A,C,C,A,B,D,B,B,B,B,C
363,A,D,D,A,A,A,A,D,D,A,D,D,A,D,A,B,B,A,C,C,D,D,C,C,D,B,D,D,D,A,A,C,,,C,,,C,D,D,F,A,A,A,B,D,D,B,C,D,A,D,A,D,B,A,D,B,,,C,,D,D,B,B,B,B,C,B,B,D,C,A,C,D,C
364,B,C,D,B,A,C,B,B,C,B,B,B,B,B,B,A,C,A,C,B,B,D,C,C,C,C,C,C,D,F,D,F,,,,,E,E,E,E,A,C,D,C,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,A,E,E,E,E,E,A,A,F,D,E,E,E,E
365,B,C,C,B,B,C,B,B,D,D,D,A,D,B,B,B,B,A,A,A,B,A,C,B,A,C,C,C,C,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,,I,A,,,,E,A,E,E,E,E,E,A,A,F,D,E,E,E,E
367,A,D,A,C,A,B,B,A,A,A,C,A,A,C,A,B,B,A,B,A,A,A,A,B,A,A,A,A,B,C,C,B,A,,C,D,,C,B,C,C,C,C,C,D,B,C,A,C,A,A,D,A,C,B,D,B,F,,,,D,D,D,D,D,C,C,C,B,D,A,B,C,B,B,C
368,B,B,B,A,B,B,A,B,A,B,B,A,B,A,B,A,B,A,A,B,A,B,A,B,C,A,B,B,C,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,B,C,A,,,,E,A,E,E,E,E,E,A,A,A,D,E,F,F,E
369,B,A,A,B,A,C,B,B,C,C,A,A,D,A,B,A,C,A,B,B,B,C,,C,C,B,C,,A,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,B,C,,,,,,,,,,,,,,,,,,,,,
370,A,B,A,B,A,A,B,B,B,A,B,A,B,B,A,B,A,B,B,B,C,B,B,C,,C,B,C,C,C,B,C,,,,D,,C,D,C,B,A,B,C,B,B,B,B,C,B,C,B,C,B,B,B,B,E,A,,,,B,B,C,B,B,B,B,A,B,B,B,C,B,B,B
371,A,B,A,B,A,D,A,D,D,D,A,D,D,D,D,D,A,C,C,A,B,B,A,A,A,A,C,B,A,B,C,C,,,,D,,C,D,D,A,A,D,D,D,D,D,D,B,D,A,D,D,D,D,C,A,D,A,,,,C,B,C,B,B,D,B,A,C,B,A,D,A,A,A
