,Alc1,Alc2,Alc3,Alc4,Alc5,Alc6,Alc7,Alc8,Alc9,Alc10,Alc11,Alc12,Alc13,Alc14,Alc15,Alc16,Alc17,Alc18,Alc19,Alc20,Alc21,Alc22,Alc23,Alc24,Alc25,Alc26,Alc27,Alc28,Alc29,Alc30,Alc31,Alc32,Alc33A,Alc33B,Alc33C,Alc33D,Alc33E,Alc34,Alc35,Alc36,Alc37,Alc38,Alc39,Alc40,Alc41,Alc42,Alc43,Alc44,Alc45,Alc46,Alc47,Alc48,Alc49,Alc50,Alc51,Alc52,Alc53,Alc54,Alc55A,Alc55B,Alc55C,Alc55D,Alc56,Alc57,Alc58,Alc59,Alc60,Alc61,Alc62,Alc63,Alc64,Alc65,Alc66,Alc67,Alc68,Alc69,Alc70
54,A,C,B,C,B,C,B,D,D,C,C,C,C,C,C,D,C,B,C,B,A,C,B,C,A,B,A,C,A,B,A,B,A,B,C,,,C,C,D,C,C,D,C,D,D,D,C,D,D,C,D,C,D,A,B,C,H,A,,,,C,A,C,D,B,D,C,C,C,A,C,C,C,D,C
55,A,B,A,B,B,B,A,B,C,A,B,D,A,D,C,C,C,A,B,A,A,D,A,B,D,A,D,C,D,B,C,A,A,,,,,C,B,B,B,D,D,B,C,D,D,A,B,D,B,D,B,D,B,B,D,E,,,,D,D,E,D,B,B,D,B,A,D,E,B,B,F,F,D
56,A,B,A,C,C,C,C,C,C,C,B,C,B,C,B,C,D,B,D,A,A,D,D,D,A,C,D,D,D,C,B,A,A,B,C,,,C,A,C,A,D,D,C,D,D,D,D,D,D,C,D,D,D,A,D,D,H,A,,,,D,E,D,D,D,D,D,A,A,E,B,D,F,F,D
57,A,D,A,A,D,A,D,D,D,B,D,D,A,D,B,A,B,A,B,A,A,B,B,B,A,A,B,C,B,B,A,B,A,B,C,,,C,B,D,A,A,D,B,D,D,D,C,D,D,B,D,C,D,A,A,C,H,A,,,,D,D,D,B,A,C,B,A,B,E,D,C,D,D,D
58,A,D,A,B,C,B,D,D,C,D,D,B,B,C,B,D,C,C,B,C,D,C,D,D,A,B,A,C,A,C,B,E,A,B,,,,C,C,D,C,C,D,B,D,D,B,D,D,C,C,C,C,D,A,B,C,H,A,,,,C,D,C,B,B,D,C,B,C,A,B,C,F,F,C
59,A,A,A,B,D,B,D,D,D,D,D,D,B,D,C,D,B,C,B,C,D,D,C,D,D,C,D,D,D,B,B,A,A,B,C,,,C,B,C,C,C,D,B,D,D,D,D,D,D,B,D,C,D,A,C,D,H,A,,,,C,D,D,D,C,D,D,A,B,E,B,D,D,F,C
60,A,D,C,B,C,B,C,D,B,C,D,D,B,C,B,C,D,B,C,B,D,D,D,D,A,C,D,D,B,B,B,C,A,B,C,D,,C,C,D,D,B,D,B,D,D,C,C,D,D,B,D,C,D,A,B,D,H,A,,,,D,D,D,D,C,D,C,A,D,A,B,C,C,F,C
61,A,C,B,A,A,B,A,B,D,C,B,A,B,B,C,B,B,D,B,D,D,D,D,C,D,D,D,D,D,C,C,C,A,B,C,,,C,A,B,A,B,D,B,D,D,D,D,D,D,C,D,D,D,A,B,D,H,A,,,,D,E,D,D,D,D,B,A,B,E,B,B,F,F,D
62,B,C,A,A,D,C,D,D,D,C,B,D,D,C,B,D,D,D,D,D,D,D,C,A,D,C,D,C,D,C,C,F,,B,,,,E,A,E,C,C,D,C,D,D,D,D,C,D,D,D,C,D,B,D,C,F,,,,D,D,A,D,E,E,E,E,A,A,A,A,E,E,E,E
63,A,C,B,B,A,B,A,B,C,C,D,D,B,C,D,D,D,B,B,B,B,D,B,D,A,C,D,D,B,B,A,C,A,B,C,,,C,D,D,C,B,D,B,D,D,D,D,D,D,D,D,D,D,A,B,D,C,A,,,,C,C,C,C,C,C,B,A,B,D,C,C,C,C,B
64,A,D,A,B,B,B,B,B,B,B,C,B,A,B,A,B,C,A,C,A,B,C,C,C,A,C,D,C,B,C,B,B,A,B,C,,,C,B,C,A,C,D,C,D,D,B,C,D,D,A,D,C,D,A,B,D,H,A,,,,D,A,C,D,B,D,B,A,A,A,C,D,F,F,B
65,B,C,A,C,C,C,C,C,C,D,C,C,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,B,A,,C,,,C,B,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,C,D,H,A,,,,C,D,D,C,D,B,C,B,D,D,C,D,D,C,C
66,A,C,A,B,B,B,B,B,C,B,B,B,B,B,B,C,B,A,B,A,A,B,C,B,A,B,C,B,A,D,A,C,A,,C,,,B,C,D,C,A,C,A,B,C,D,B,C,D,B,D,B,D,A,B,C,H,A,,,,D,D,D,D,,D,C,D,D,E,B,B,C,C,D
67,A,C,B,A,B,B,B,D,D,B,B,C,A,C,A,A,C,A,B,A,B,D,C,B,A,B,D,B,A,D,A,B,A,,C,,,C,B,D,C,A,D,B,C,D,D,B,C,D,B,D,B,B,A,D,D,H,A,,,,D,D,C,C,B,D,B,D,E,C,B,B,B,C,C
68,B,C,B,D,A,D,A,A,D,C,A,C,B,D,D,D,D,A,D,A,A,D,D,B,B,D,B,D,B,F,D,F,,,,,E,E,E,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,I,A,,,,E,E,E,E,E,E,E,A,A,F,A,E,E,E,E
