ID,DG1,DG2,DG3,DG4,DG5,DG6,DG7,DG8,DG9,DG10,DG11,DG12,DT1,DT2,DT3,DT4,DT5,DT6,DT7,DT8,DT9,DT10,DT11,DT12,DT13,DT14,DT15,DT16,DT17,DT18,DT19,DT20,DT21,DT22,DT23,DT24,DT25,DT26,DT27
86,F,C,B,A,B,C,D,B,B,B,D,D,A,A,A,B,A,A,B,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,B,A,A,A,B
87,M,B,B,A,B,C,D,B,B,A,D,D,A,A,A,B,A,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,A,A,B,A,B,A,B
88,F,B,B,A,B,C,D,B,B,A,D,D,A,A,A,B,A,A,A,B,A,A,B,A,A,B,A,A,A,A,B,A,A,A,B,A,A,A,B
89,F,C,B,A,B,C,D,B,B,A,B,D,A,B,A,B,B,A,B,B,A,B,B,A,A,B,B,A,B,B,B,A,B,A,B,A,B,A,B
90,M,C,B,A,B,C,E,B,B,A,C,B,A,A,A,B,A,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,B,A,B,A,B,A,B
91,F,B,B,A,B,D,D,B,B,A,D,D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
92,M,C,B,A,B,C,D,B,B,A,C,C,A,A,A,B,B,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,A,A,B,A,A,A,B
93,F,B,B,A,B,C,E,B,B,A,B,D,A,B,B,B,B,A,B,B,A,B,B,A,A,B,B,A,A,B,B,B,A,B,A,A,B,A,B
94,F,C,B,A,B,D,E,B,B,A,E,D,A,B,B,B,B,A,B,B,A,B,B,A,A,B,B,A,A,A,B,A,B,A,B,A,B,A,B
95,F,C,B,A,B,D,E,B,A,B,B,B,A,A,A,B,A,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,A,A,B,A,B,A,B
96,M,C,B,A,B,C,D,D,A,B,C,A,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B
98,F,C,B,A,B,D,D,B,B,A,B,B,A,A,A,B,A,A,A,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B
99,F,B,B,A,B,D,D,B,B,A,B,D,A,A,A,B,A,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,B,A,B,A,B,A,B
100,F,C,B,A,B,C,E,B,B,A,C,D,A,B,A,B,A,A,B,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B
101,F,C,B,A,B,C,D,B,B,A,D,B,A,A,A,B,A,A,B,B,A,A,B,A,A,B,A,A,A,A,B,A,B,A,B,A,B,A,B
102,M,C,B,A,B,D,D,B,B,A,,,A,B,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,A,A,A,B
103,F,C,B,A,B,C,C,,B,A,C,D,A,A,A,B,A,A,B,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B
104,F,B,B,A,B,C,D,B,B,A,,B,A,A,A,B,A,A,B,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,B,A,B,A,
105,F,B,B,A,B,D,D,B,B,A,B,D,A,A,A,B,A,A,A,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,B,A,A,A,B
106,F,C,B,A,B,D,D,B,B,A,B,C,A,A,A,B,B,A,B,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,B,A,A,A,B
107,F,C,B,A,B,C,E,B,B,A,B,D,A,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,A,A,B,A,A,A,B,A,A,A,B
