ID,Grit1,Grit2,Grit3,Grit4,Grit5,Grit6,Grit7,Grit8
730,D,D,D,D,D,D,D,D
731,A,C,A,B,A,D,A,C
738,C,C,C,C,B,D,B,C
739,A,A,B,C,D,C,B,C
740,B,C,B,C,B,B,C,D
741,B,C,B,B,C,C,D,C
742,B,C,A,C,C,C,C,A
745,B,C,B,B,B,C,C,C
746,,,,,,,,
747,B,C,B,C,B,C,B,C
748,C,D,B,B,B,B,C,C
751,B,C,B,B,C,D,B,C
752,C,C,B,C,C,C,B,C
753,D,D,D,D,D,D,D,D
754,B,B,B,B,B,B,B,B
755,A,D,B,C,D,D,A,D
756,A,B,B,D,C,A,C,C
757,B,C,B,C,B,D,C,C
758,C,B,B,B,A,B,C,D
759,A,D,A,A,D,D,A,D
