,ImF1,ImF2,ImF3,ImF4,ImF5,ImF6,ImF7,ImF8,ImF9,ImF10,ImF11,ImF12,ImF13,ImF14,ImF15,ImF16,ImF17,ImF18,ImF19,ImF20,ImT21,ImT22,ImT23,ImT24,ImT25,ImT26,ImT27,ImT28,ImT29,ImT30,ImT31,ImT32,ImT33,ImT34,ImT35,ImT36,ImT37,ImT38,ImT39,ImT40,ImD41,ImD42,ImD43,ImD44,ImD45,ImD46,ImD47,ImD48,ImD49,ImD50,ImD51,ImD52,ImD53,ImD54,ImD55,ImD56,ImD57,ImD58,ImD59,ImD60
329,B,C,D,D,D,D,B,B,D,D,D,C,D,B,D,C,A,A,A,A,B,C,D,D,D,D,C,C,D,D,D,D,D,B,D,C,A,A,A,A,B,A,B,B,B,B,C,B,B,B,B,B,B,A,B,A,D,D,D,D
330,C,A,C,C,C,D,C,A,D,C,A,D,D,C,C,A,A,A,C,C,D,A,D,B,B,D,A,A,D,B,B,D,B,D,B,D,C,C,D,D,B,B,B,B,B,C,A,B,B,C,B,C,B,C,B,B,A,A,A,A
332,D,C,B,A,A,C,B,C,C,C,A,C,A,B,C,C,C,A,B,A,A,C,A,A,A,B,B,C,B,C,A,C,A,B,C,B,C,A,B,A,B,C,C,C,C,B,C,C,D,D,C,C,D,D,D,C,D,D,D,D
333,C,C,D,A,A,C,C,D,C,C,A,C,C,B,C,B,A,A,B,B,B,A,B,A,A,D,A,A,B,A,A,A,D,B,A,A,A,B,B,A,A,A,A,C,C,A,C,A,A,C,C,C,A,D,C,C,D,D,B,C
334,D,A,D,C,B,D,A,A,D,B,B,A,B,A,A,A,A,A,A,A,D,A,D,B,B,D,A,A,D,A,B,A,B,A,A,A,A,A,A,A,B,D,D,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
335,A,A,C,A,A,B,B,B,B,D,A,B,A,A,B,A,A,B,A,B,A,A,B,A,A,B,A,B,C,D,A,D,A,A,A,A,A,B,B,B,D,C,C,C,D,B,A,B,D,A,B,B,D,D,B,D,C,C,C,B
336,C,A,C,A,A,C,D,C,C,C,C,C,A,B,C,C,A,B,A,A,A,A,B,A,A,A,B,A,A,B,A,A,A,A,B,B,B,B,A,A,A,B,A,D,D,A,B,B,A,A,B,A,C,D,A,B,A,A,C,B
337,C,C,C,A,C,C,C,C,C,D,D,A,A,A,A,A,A,A,A,C,C,B,C,A,A,B,B,A,B,A,B,A,A,A,A,A,D,A,A,A,B,D,C,D,D,D,D,D,C,C,C,C,D,D,C,C,C,C,C,C
340,C,A,C,B,A,B,B,B,B,C,A,B,B,A,B,A,A,A,A,A,B,B,B,A,A,B,B,B,B,B,A,B,B,B,B,A,A,A,A,A,B,C,C,B,C,C,B,B,C,B,C,B,C,B,C,C,D,D,D,D
343,D,B,D,A,A,B,A,A,B,C,A,B,A,A,A,B,B,B,B,B,D,C,D,A,A,B,A,B,B,B,A,B,A,A,A,B,C,C,C,B,B,A,B,C,C,B,A,D,B,B,C,B,B,D,A,B,C,C,C,C
344,B,B,B,C,B,B,B,B,C,B,C,B,B,B,B,B,A,A,A,A,B,B,B,C,B,B,B,B,C,B,C,B,B,B,B,B,A,A,A,A,B,B,B,C,B,B,B,B,C,B,C,B,B,B,B,B,A,A,A,A
346,C,B,D,D,D,D,D,B,D,D,C,D,C,B,D,C,D,A,A,A,B,B,D,D,D,D,D,B,D,D,D,D,C,B,D,B,D,A,A,A,B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
347,C,C,B,C,B,D,C,B,C,B,C,C,C,B,B,C,A,A,A,D,D,B,B,C,C,D,C,B,C,B,B,B,C,D,B,C,A,A,A,D,A,B,B,C,C,B,B,B,C,B,C,C,C,D,A,B,D,C,C,C
348,C,A,B,C,C,B,D,B,D,C,C,C,C,C,B,A,D,A,B,A,D,B,C,C,D,B,C,C,D,C,B,C,D,B,C,C,D,A,B,C,A,C,A,A,B,A,C,C,B,A,A,A,B,C,B,B,B,C,D,D
349,C,A,C,C,C,D,C,A,D,D,A,D,A,B,B,A,D,D,D,D,C,A,A,A,A,C,B,A,D,D,A,D,A,B,B,A,D,D,D,D,B,D,B,D,D,C,D,D,C,C,C,A,C,D,C,D,D,D,D,A
351,B,B,C,A,A,D,C,B,C,B,B,B,A,B,B,B,A,A,A,C,B,A,C,A,A,C,B,B,C,B,A,B,A,B,B,B,A,A,A,B,C,C,C,D,D,C,C,D,B,C,D,D,C,C,C,C,D,C,C,C
352,B,A,B,A,A,B,A,A,B,B,A,B,B,A,A,A,B,B,A,A,B,A,B,A,A,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,B,D,B,B,C,B,D,D,B,D,B,D,B,D,D,D,D,D,D,C
353,D,A,B,B,A,C,C,A,B,C,B,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,B,A,B,C,D,B,C,B,B,A,B,B,B,B,C,C,C,C
354,C,A,C,B,A,D,C,A,B,B,A,C,C,C,A,D,D,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,A,B,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,D,D,D,D
356,A,B,D,A,A,B,B,C,C,C,A,A,A,A,B,C,A,A,A,B,C,B,D,A,A,B,A,B,D,B,A,A,A,A,A,B,A,A,A,A,A,B,C,D,D,C,C,C,D,C,D,D,D,D,D,D,D,D,D,D
357,C,C,C,B,A,B,B,A,B,D,C,C,C,B,B,C,A,A,A,A,B,B,B,A,A,A,A,B,A,B,A,B,A,B,B,C,A,A,A,A,B,B,B,B,C,B,B,B,C,C,B,B,A,B,C,C,C,D,C,C
358,C,B,C,C,A,B,C,B,C,A,B,C,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,D,C,C,B,A,B,D,D,D,C,D,B,C,B,D,D,D,D
359,B,A,D,B,A,A,C,B,C,D,D,D,D,C,B,B,D,D,C,B,A,C,B,A,C,D,B,D,D,A,D,D,D,A,B,C,D,C,B,A,D,D,C,C,C,B,D,D,D,C,D,D,D,D,C,D,D,D,D,D
360,D,B,C,B,A,D,C,B,B,C,B,C,A,B,B,B,A,C,B,B,B,B,A,B,A,B,A,B,A,B,A,A,A,B,A,A,A,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
361,D,A,C,C,A,D,D,B,D,C,A,C,D,A,C,B,C,C,B,D,D,B,C,A,A,D,D,B,C,D,A,C,A,A,A,A,D,C,B,D,A,C,B,D,D,C,B,C,D,C,C,B,D,C,C,A,C,D,D,C
362,B,B,C,B,B,C,B,A,C,C,B,B,B,A,B,A,A,A,B,B,A,A,A,A,B,B,A,A,B,B,B,B,C,A,A,A,B,A,B,B,B,A,A,A,A,A,A,B,C,B,B,B,B,B,B,B,C,C,C,C
363,B,C,D,C,B,B,B,D,B,A,A,C,A,C,C,C,B,D,C,C,C,D,A,C,A,D,C,C,C,A,C,B,B,A,B,D,D,D,C,A,B,C,C,B,B,D,C,D,D,C,C,D,C,C,C,D,D,D,D,D
364,C,B,B,B,A,B,C,C,C,C,B,C,C,B,B,B,B,A,A,B,B,B,B,A,A,B,A,B,B,C,A,A,A,C,B,C,B,A,A,B,B,B,B,B,C,C,A,A,C,A,A,A,C,B,C,A,C,D,D,C
365,C,A,D,C,A,C,A,A,C,B,A,A,B,A,A,A,A,A,A,A,B,A,C,B,A,B,A,A,B,B,A,A,A,A,A,A,A,B,A,A,A,C,B,C,D,B,C,C,C,C,D,D,C,D,C,D,D,C,C,D
367,B,B,D,D,D,D,B,C,D,B,D,B,D,A,C,C,D,A,C,C,B,B,D,D,D,D,B,B,C,C,D,B,D,A,B,C,D,A,B,D,A,D,B,D,D,D,B,C,D,C,D,D,D,D,C,C,D,D,D,D
368,B,C,C,B,C,C,B,B,B,C,A,B,B,A,B,B,A,A,A,A,B,B,B,A,B,A,A,A,A,B,A,A,A,A,A,B,A,A,A,A,B,A,B,B,B,C,A,A,D,B,A,A,B,B,A,A,C,C,D,C
369,D,B,B,A,A,B,B,C,A,D,B,C,A,C,B,C,A,A,A,C,D,B,B,A,C,A,C,B,A,B,A,B,A,,B,C,B,A,A,D,D,C,C,D,D,C,C,D,D,C,C,C,C,C,C,B,C,D,D,D
370,B,B,D,B,A,D,B,B,C,C,B,C,C,B,B,B,D,A,C,B,C,C,D,A,A,D,C,C,C,C,C,D,C,C,C,B,C,C,D,C,B,C,B,C,C,B,B,B,C,B,B,B,C,B,B,,D,D,D,D
371,A,B,A,A,A,B,A,A,B,C,A,B,B,C,B,A,B,C,B,,,C,B,A,D,B,B,B,B,A,A,A,B,A,B,B,B,B,B,A,B,C,B,B,C,B,B,C,B,C,C,C,C,C,B,C,B,C,C,A
373,C,B,A,B,B,C,C,C,C,C,B,C,C,C,C,C,A,A,B,B,B,A,A,B,B,B,C,B,C,B,B,C,B,B,C,C,B,B,C,C,B,A,B,C,C,B,A,A,C,C,C,C,D,B,B,B,D,D,D,C
374,C,D,D,B,B,D,D,D,D,D,A,D,B,C,D,D,A,A,B,A,,,D,D,D,A,D,D,D,D,A,D,D,C,D,D,A,A,A,A,B,C,B,C,C,C,B,C,C,B,C,B,C,B,C,C,D,D,D,D
375,C,A,D,C,A,B,B,B,B,A,A,A,A,A,B,A,A,A,A,A,A,B,C,A,A,B,B,B,B,A,B,A,A,A,B,B,A,A,A,A,,C,D,B,B,D,B,A,D,C,C,D,C,D,C,B,C,D,D,D
376,C,A,C,B,A,C,C,A,B,C,A,A,A,A,A,C,A,A,A,A,A,A,B,B,A,A,C,C,B,D,A,C,A,A,A,C,A,A,A,A,B,A,D,C,D,D,B,C,D,D,D,D,D,D,D,C,D,D,D,D
377,C,B,C,C,C,B,B,C,B,B,C,C,C,B,B,D,C,C,B,B,B,B,C,B,B,C,B,B,B,A,B,B,C,B,B,B,B,D,B,B,B,C,C,D,D,C,B,C,D,C,C,C,D,C,C,C,D,C,D,C
378,D,B,C,C,C,C,C,C,D,C,C,C,C,B,C,C,C,A,A,C,C,B,C,C,C,C,B,B,D,C,C,C,C,C,C,C,C,C,A,A,C,B,C,B,B,B,B,B,C,B,B,B,B,C,B,B,C,D,D,D
379,C,C,C,C,C,C,C,C,A,B,D,B,C,B,D,B,A,A,A,C,B,B,B,A,A,C,B,D,D,A,C,B,B,A,D,B,C,A,A,B,B,B,D,A,C,A,D,B,A,A,A,C,C,B,D,A,C,B,A,A
380,C,A,B,D,B,C,B,A,C,C,B,D,D,A,B,C,A,A,A,A,B,A,A,A,B,B,A,A,A,A,A,A,A,A,A,,A,,,,A,B,B,C,B,A,B,C,B,A,A,B,B,B,B,D,D,D,D,D
381,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
382,D,B,D,B,A,D,B,B,B,C,A,C,A,A,B,B,A,,A,B,C,B,D,A,A,D,A,B,A,C,A,B,A,C,B,B,A,A,A,C,A,B,B,C,D,B,B,B,C,D,D,C,C,D,C,B,D,D,,C
383,B,C,C,B,B,C,C,B,B,C,B,C,B,C,B,B,A,A,A,B,A,A,B,B,B,C,B,B,B,B,A,B,B,B,B,B,A,A,A,B,B,C,C,B,B,B,A,B,D,B,A,A,A,A,B,B,D,D,D,C
384,D,A,C,D,C,C,C,C,C,B,B,B,C,A,A,A,C,B,C,D,D,A,C,D,D,C,C,A,C,B,C,B,C,B,A,A,D,A,D,C,A,B,C,D,D,B,B,B,C,D,C,C,D,D,C,C,D,D,C,D
385,A,A,B,A,A,A,B,A,B,C,A,A,A,B,B,C,A,B,C,D,A,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,A,B,C,C,A,C,A,C,B,A,A,C,C,C,C,C,C,C,C
386,A,B,B,B,A,C,B,B,B,B,A,A,B,B,A,B,A,D,B,B,,,C,C,C,C,C,C,C,C,C,C,C,A,C,C,C,C,C,C,A,A,A,A,C,B,A,A,B,A,A,A,A,A,A,A,C,C,C,A
387,A,B,C,B,B,B,C,B,C,D,C,D,C,D,C,B,C,D,B,B,B,A,A,B,B,A,A,A,B,A,B,D,B,A,C,A,B,C,B,A,A,C,B,C,C,B,C,C,C,C,C,C,C,C,,B,C,D,D,D
390,C,A,B,D,A,A,A,A,B,A,B,A,A,C,A,B,C,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,D,D,D,D,D,A,D,D,D,D,D,D,D,D,D,D,D,D,D
391,B,A,D,C,A,C,A,B,C,B,A,A,C,A,B,B,D,C,A,A,D,B,D,B,A,A,A,B,B,A,A,A,B,A,A,A,C,C,B,A,B,B,D,A,A,D,B,D,D,C,B,A,A,A,A,B,C,D,D,A
393,B,C,D,C,C,B,C,B,B,C,C,D,C,C,C,D,D,C,B,B,B,C,D,C,C,B,B,C,B,C,C,C,C,C,C,C,C,C,C,B,B,C,C,B,B,B,B,B,B,D,C,C,C,C,C,C,D,C,C,D
394,C,B,C,A,A,B,B,B,C,B,A,B,B,A,B,A,A,A,A,A,B,B,B,A,A,B,B,B,B,B,A,B,A,A,B,B,A,A,A,B,B,C,B,B,B,B,B,B,D,C,D,D,D,D,D,D,,,,
395,B,B,C,B,A,C,C,C,D,D,B,D,B,D,D,B,A,A,A,B,B,B,C,C,C,C,C,D,D,D,C,D,D,D,D,D,D,A,A,C,C,C,C,C,,,,,,D,C,C,C,C,D,C,D,D,D,D
396,C,C,B,A,D,A,B,C,B,A,A,A,B,B,C,B,B,A,B,A,C,A,B,B,A,D,C,B,B,B,A,A,C,A,B,B,B,A,B,A,B,B,B,B,C,B,B,B,C,A,B,B,D,D,B,B,D,D,D,D
397,C,B,D,D,A,C,A,A,D,C,B,A,A,A,A,C,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,C,C,A,A,C,C,B,B,B,C,C,C,D,B,D,D,D
398,C,A,C,C,A,C,A,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C
399,C,C,D,B,B,B,C,C,B,B,B,C,D,B,B,C,D,B,D,C,D,D,C,D,D,B,B,C,D,C,C,C,C,B,B,C,D,A,C,B,B,D,B,C,C,B,C,D,D,D,D,D,D,D,D,C,D,D,D,D
400,C,A,,,B,D,,C,C,C,,,,,,,,B,,C,B,C,C,A,A,A,A,A,B,B,A,B,A,B,,,A,A,,,B,D,,D,D,B,C,C,C,C,C,C,C,C,,C,C,D,D,D
402,C,B,C,C,B,B,C,C,C,C,B,B,C,C,B,C,A,A,A,A,A,B,B,B,A,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,B,A,B,B,A,C,C,C,C,C,B,B,C,C,C,C,D,D,C,
403,B,C,C,D,B,B,B,C,C,B,B,B,A,A,B,A,C,B,B,C,C,C,A,D,C,B,A,C,D,B,B,B,B,B,C,A,B,A,A,B,B,A,B,A,B,A,A,A,A,B,A,B,A,B,A,B,,B,B,B
404,C,B,B,B,B,B,C,C,B,C,B,B,A,C,C,B,A,A,A,C,C,D,A,A,B,A,C,B,B,C,B,B,A,B,B,C,B,A,A,B,B,A,C,C,D,C,C,B,C,C,D,B,D,C,C,A,C,,D,
406,D,D,C,B,A,C,C,B,B,C,A,C,A,A,C,D,A,A,A,A,D,D,C,D,A,B,B,B,B,C,A,B,A,A,B,B,A,A,A,A,C,A,D,B,B,B,A,B,B,C,A,B,A,A,B,B,A,A,A,A
407,B,A,C,A,A,C,A,A,C,C,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,B,B,A,A,D,D,D,B
408,,A,C,B,A,D,B,A,C,A,A,B,A,B,,,A,A,,A,D,,C,,A,C,B,A,C,A,A,B,B,,A,B,A,,A,A,A,D,C,,D,,B,C,,D,D,C,,C,D,C,D,,,
409,C,B,C,D,B,D,C,C,D,B,B,C,B,A,B,C,A,A,B,A,C,B,A,B,A,C,B,B,D,C,B,B,A,A,B,A,A,B,A,A,A,C,C,B,B,C,B,B,B,C,C,B,D,D,C,B,D,D,C,D
410,C,C,C,B,A,C,B,B,D,C,B,C,B,A,B,B,B,B,B,A,C,B,C,B,A,C,B,B,C,B,B,C,B,A,B,B,B,B,A,A,B,C,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
411,A,B,C,B,B,D,B,C,B,D,B,C,B,B,C,C,C,B,D,B,B,B,B,A,A,D,B,B,B,D,A,C,,A,B,C,B,D,D,D,B,B,C,A,A,B,A,A,D,B,A,B,C,D,B,B,C,D,D,D
412,B,C,D,D,A,D,B,B,C,B,A,D,C,B,B,B,B,A,B,B,D,D,D,D,A,D,B,D,D,B,A,D,D,A,B,D,A,A,B,A,B,D,B,B,B,C,B,D,D,D,D,D,D,C,A,B,D,D,D,C
414,C,A,B,D,A,C,A,A,C,C,A,A,C,A,A,B,A,A,A,A,C,A,A,B,A,C,C,A,B,C,A,A,A,A,A,A,A,A,A,A,A,B,C,D,B,C,C,C,C,C,D,D,C,D,C,D,D,C,C,D
415,B,A,B,B,D,B,B,C,B,C,C,C,C,B,C,B,A,A,A,C,B,C,B,B,B,B,C,B,C,C,B,B,C,C,C,B,C,A,A,B,A,A,B,B,B,B,A,B,A,A,A,B,A,D,B,A,D,D,D,A
417,C,B,C,B,B,C,D,C,D,D,A,D,B,D,D,A,A,B,B,C,,,C,A,A,B,C,C,D,D,A,D,A,D,D,A,A,D,B,C,B,C,B,D,D,B,C,C,B,D,D,D,D,C,D,D,D,C,C,C
418,A,C,C,B,A,D,C,C,B,C,A,D,C,B,C,B,A,A,A,A,B,D,D,B,A,D,C,D,D,C,B,D,A,C,C,B,A,A,A,A,B,D,D,D,D,C,D,D,D,D,C,C,D,D,C,D,D,D,D,D
419,B,B,B,B,B,C,C,B,C,B,D,D,B,B,C,B,D,C,D,B,A,A,A,A,A,B,B,B,B,B,A,C,B,A,B,C,C,C,B,B,B,B,B,B,B,B,B,B,C,C,B,C,C,C,C,C,D,D,D,D
420,C,B,C,B,C,B,B,A,B,C,B,B,B,A,B,B,A,A,A,B,A,B,A,B,B,A,B,C,B,B,B,B,A,A,B,B,B,A,A,B,B,D,B,D,D,D,D,D,C,C,C,C,D,C,D,D,D,D,D,D
421,D,B,D,A,A,D,B,A,C,B,A,B,B,B,A,A,A,C,A,B,D,A,D,A,A,D,B,B,C,A,A,B,B,B,A,A,A,C,B,A,C,D,C,D,D,D,C,C,C,D,D,D,D,D,D,D,D,C,D,D
422,B,A,C,C,B,C,C,B,C,C,B,C,B,A,C,C,A,D,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,C,C,A,C,A,C,C,B,C,C,B,C,C,C,C,C,C,A,C,B,C,C
423,D,A,C,B,A,C,C,A,C,B,B,C,A,A,C,A,A,B,A,C,D,A,D,A,A,D,C,A,C,B,A,D,A,A,C,A,B,A,A,A,C,D,D,D,D,C,D,D,D,D,D,C,D,D,D,D,D,D,D,D
424,C,B,C,B,C,C,D,B,C,C,C,D,B,B,C,C,A,A,A,A,D,B,D,D,C,C,B,B,D,A,B,C,C,A,B,C,A,A,A,B,C,B,C,C,B,C,B,A,C,C,B,B,C,D,C,B,D,D,D,C
425,C,C,C,A,A,D,B,C,C,C,A,C,C,B,C,C,A,A,A,A,D,C,D,B,D,A,B,B,D,B,A,C,A,A,C,B,A,A,A,A,A,B,A,C,D,A,C,C,B,C,D,B,D,D,C,C,D,D,D,D
426,C,C,C,C,C,C,A,C,C,C,C,C,C,D,C,C,D,D,D,A,,,D,C,D,C,C,C,D,D,C,D,D,C,D,A,D,D,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
427,C,C,D,C,C,C,A,B,C,C,C,C,B,C,C,A,A,A,A,B,C,C,C,A,C,C,C,A,C,C,C,C,C,C,A,A,A,A,A,A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
428,C,A,D,C,B,D,B,C,C,B,A,B,C,A,A,B,A,C,A,B,D,A,D,B,B,C,A,B,C,A,B,B,B,A,B,B,A,C,B,A,B,D,B,C,D,B,B,D,,C,B,D,D,D,C,D,D,D,D,D
429,B,A,C,C,C,D,C,C,D,C,B,D,C,A,C,B,D,A,C,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,D,B,B
430,C,A,B,B,B,D,B,B,C,B,C,B,B,B,C,B,B,D,B,B,A,A,B,B,B,D,A,B,B,C,A,A,C,A,B,B,A,D,A,A,B,D,B,B,B,B,C,D,B,D,B,C,B,C,C,C,D,C,C,C
431,D,B,C,C,B,C,B,C,D,D,B,A,A,A,B,B,C,C,C,D,C,B,A,B,B,C,C,D,C,B,C,C,B,B,C,B,C,B,B,C,C,B,C,B,C,B,A,A,D,D,A,C,B,C,D,B,C,B,D,B
432,C,A,B,B,B,C,B,A,B,B,A,B,B,A,A,A,A,A,A,B,A,B,A,A,A,A,A,B,B,B,A,B,A,A,A,A,A,A,A,A,A,D,B,C,C,B,D,D,C,C,C,C,D,D,C,C,D,D,D,D
433,D,A,D,C,C,B,B,A,C,D,B,C,C,B,C,B,A,A,B,C,D,B,D,A,B,B,B,C,C,D,B,C,B,B,D,C,A,A,C,D,C,D,B,D,D,C,C,D,D,D,C,C,B,D,D,D,D,D,D,D
434,C,B,B,D,D,C,C,C,B,B,D,A,D,B,B,C,A,A,C,A,B,B,A,D,D,C,C,D,B,A,D,A,D,A,B,D,A,A,D,A,B,C,D,D,D,B,C,A,B,C,D,D,D,B,C,A,D,D,D,D
435,C,A,B,A,B,C,C,B,C,C,B,C,A,A,B,B,A,A,A,A,C,C,C,C,D,C,D,B,C,D,C,D,D,D,C,D,A,A,A,B,C,B,C,B,B,C,B,A,C,B,B,B,B,B,B,A,A,B,B,B
436,D,B,C,C,B,C,B,A,C,C,C,B,B,B,B,A,A,A,B,A,A,B,C,B,B,C,B,B,C,C,C,C,C,C,C,C,A,B,B,A,B,C,B,C,C,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C
437,C,B,C,A,A,B,D,C,C,D,A,D,A,A,D,C,A,A,A,A,C,C,D,A,A,C,D,C,D,D,A,D,A,A,C,C,A,A,A,B,,C,C,D,D,B,D,C,D,C,C,D,D,B,D,*,D,D,D,C
438,C,A,D,C,C,C,C,A,A,B,C,B,A,B,C,A,A,A,A,C,C,C,D,B,B,C,D,C,A,A,C,A,A,B,D,B,A,A,A,B,B,D,B,D,D,B,C,D,D,D,D,D,D,B,C,D,D,D,D,D
439,B,A,C,C,A,D,B,B,D,B,A,C,B,A,B,B,A,A,A,A,A,B,B,A,A,A,A,A,C,B,A,B,A,A,A,B,A,A,A,A,B,C,B,C,C,C,C,C,C,B,C,B,C,C,B,C,D,D,D,D
440,C,B,C,C,A,D,D,B,C,C,C,C,B,C,C,C,A,B,C,A,C,B,C,C,A,C,B,B,C,C,B,C,A,B,B,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,C,C,C
441,C,B,B,A,B,B,D,B,A,D,B,D,A,B,D,B,A,A,A,C,B,A,B,A,B,B,C,A,A,C,A,C,B,A,D,A,B,A,A,B,A,B,B,B,B,C,B,B,D,C,B,C,D,C,C,C,D,D,D,D
442,B,B,B,B,B,C,B,B,B,B,B,C,B,B,C,B,A,A,A,A,C,C,D,B,C,C,C,C,C,C,B,D,B,B,D,C,A,A,A,B,B,C,D,C,C,C,B,C,D,D,C,D,B,C,D,C,C,D,D,D
443,C,B,B,D,C,C,C,B,B,C,C,C,C,B,B,B,A,A,A,A,C,B,B,C,D,D,D,C,C,B,D,D,D,A,C,B,A,A,A,A,A,D,B,D,D,B,C,D,D,D,D,D,D,C,C,C,D,D,D,D
444,B,B,A,A,C,A,C,C,B,D,B,C,B,B,C,B,B,B,A,B,D,C,D,A,A,D,B,C,D,D,C,C,A,A,D,D,D,C,A,B,B,D,B,C,C,B,D,D,C,C,C,C,C,C,D,D,D,D,D,D
445,D,B,C,B,A,C,B,A,C,B,B,B,B,A,B,B,A,A,A,B,C,B,C,B,B,C,B,B,B,B,B,B,B,A,B,C,A,B,A,C,B,D,B,C,B,B,C,D,C,B,B,C,C,D,C,D,D,D,D,C
446,B,A,C,B,A,C,B,B,B,B,B,A,A,A,A,B,A,A,B,A,B,C,D,D,D,D,C,C,D,C,C,B,C,C,C,D,B,A,C,B,B,C,B,C,C,C,B,B,C,B,C,B,C,B,B,B,C,D,D,D
447,D,B,D,C,B,B,C,B,B,B,C,D,A,B,C,A,A,D,A,A,B,C,B,D,D,B,A,B,A,C,B,C,B,C,C,A,A,B,A,A,A,C,B,C,C,B,C,D,C,B,C,A,D,C,C,C,D,D,D,D
448,C,B,D,A,A,C,B,B,B,C,A,B,A,A,B,B,A,A,A,A,D,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,A,C,C,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C
449,D,A,D,A,A,C,C,A,B,C,B,B,A,B,B,B,A,C,A,A,D,A,D,A,A,C,B,A,C,B,B,B,A,A,B,B,A,C,A,A,A,D,B,C,D,B,C,D,C,C,B,C,C,C,D,D,D,C,D,D
450,C,A,C,A,A,B,A,B,C,B,A,B,B,B,C,A,A,A,A,A,A,B,A,A,A,B,C,B,C,B,A,B,C,B,B,B,A,A,B,B,B,D,B,C,C,B,B,D,C,D,C,D,D,C,D,D,D,D,D,C
451,B,A,B,A,A,C,B,A,B,B,B,C,A,A,B,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,C,B,C,C,B,B,C,C,B,B,C,B,C,C,C,D,D,D,D
452,C,A,C,B,B,C,B,A,C,B,A,B,A,A,B,B,A,A,A,A,C,A,C,B,B,B,B,B,C,B,A,B,B,A,B,B,A,A,A,B,A,B,A,C,C,B,B,B,C,B,A,B,C,C,B,A,D,D,D,D
453,C,A,C,B,A,B,C,A,B,C,B,C,B,A,C,B,A,B,C,A,B,A,B,B,A,B,C,A,B,C,B,C,B,A,B,A,B,B,C,A,B,D,B,C,D,C,C,D,C,C,C,C,C,D,C,D,D,D,D,D
454,D,C,D,C,B,D,C,B,D,D,B,C,C,B,B,C,A,A,A,A,D,C,D,B,B,D,C,C,D,C,B,D,D,C,C,C,A,B,B,B,B,C,C,C,C,C,C,B,D,C,C,B,C,C,C,B,D,D,D,C
455,B,A,C,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,D,*,C,D,D,D,C,D,C,D,D,D,D,D,D,D,D,B,D
456,C,A,B,C,C,B,B,A,C,A,B,A,D,A,A,A,A,A,A,C,A,A,A,C,B,A,A,A,A,A,A,A,B,A,A,A,B,A,A,C,B,D,B,B,B,B,C,D,B,B,B,D,B,C,C,D,C,B,B,B
457,B,C,C,A,A,B,B,C,C,B,A,D,A,B,B,C,D,A,A,B,A,B,D,B,B,D,D,D,C,C,C,D,D,A,C,D,B,A,B,C,A,C,A,B,B,A,B,C,D,C,A,B,B,B,B,C,D,D,D,C
