,ImF1,ImF2,ImF3,ImF4,ImF5,ImF6,ImF7,ImF8,ImF9,ImF10,ImF11,ImF12,ImF13,ImF14,ImF15,ImF16,ImF17,ImF18,ImF19,ImF20,ImT21,ImT22,ImT23,ImT24,ImT25,ImT26,ImT27,ImT28,ImT29,ImT30,ImT31,ImT32,ImT33,ImT34,ImT35,ImT36,ImT37,ImT38,ImT39,ImT40,ImD41,ImD42,ImD43,ImD44,ImD45,ImD46,ImD47,ImD48,ImD49,ImD50,ImD51,ImD52,ImD53,ImD54,ImD55,ImD56,ImD57,ImD58,ImD59,ImD60
48,A,A,C,C,A,A,C,B,C,D,A,D,B,A,C,A,A,A,A,C,A,B,A,B,A,A,C,B,B,D,B,D,B,B,D,B,A,B,B,B,D,B,C,C,B,D,C,B,D,D,B,B,C,B,D,B,D,D,C,B
49,C,A,C,B,A,C,C,A,C,B,A,B,B,B,B,B,A,B,B,A,B,B,B,B,A,B,B,B,B,B,B,B,A,B,B,B,B,B,B,A,A,B,B,B,B,B,B,B,C,B,B,C,C,C,B,B,C,C,C,C
50,C,C,D,A,B,D,D,B,D,D,A,C,A,B,B,B,A,B,B,B,D,C,D,B,B,D,D,D,D,C,C,D,D,D,C,C,C,C,C,B,A,C,B,C,D,B,B,B,C,D,D,D,D,D,C,C,D,D,D,D
51,C,A,B,B,A,B,B,A,B,C,A,B,C,A,C,A,B,A,B,A,B,A,B,B,B,B,B,B,B,C,B,B,C,A,C,B,B,B,B,A,B,B,A,C,C,B,A,A,B,B,C,B,B,C,C,B,C,D,D,D
52,C,A,B,A,A,A,A,B,A,C,A,A,A,A,B,B,A,A,A,A,B,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,A,A,A,C,B,B,D,D,D,B,C,D,B,C,B,C,A,B,B,D,D,D,D
53,C,B,B,C,B,D,D,C,D,D,C,D,D,B,C,B,D,A,B,A,C,B,B,C,C,D,D,C,D,D,C,C,C,A,C,C,D,A,A,A,C,A,C,C,D,D,D,B,D,D,D,C,D,D,C,A,D,D,D,D
54,D,A,D,C,C,D,B,A,D,C,D,B,C,A,B,A,A,A,B,B,B,A,C,B,C,C,B,A,B,B,C,B,B,A,B,A,A,A,B,A,B,C,B,B,C,C,B,C,C,C,B,C,C,C,B,C,D,C,D,C
55,B,B,B,A,A,C,C,B,C,C,B,C,A,A,C,C,A,A,B,A,B,D,B,C,B,D,C,D,D,C,B,B,B,A,C,D,B,B,B,B,A,C,B,C,C,C,C,D,C,C,C,B,D,C,C,C,D,C,C,D
56,C,A,C,A,A,D,B,B,C,D,B,B,B,B,C,A,A,A,A,A,D,B,D,C,B,D,B,B,D,B,B,B,B,B,C,B,A,B,A,A,A,D,B,C,D,B,B,D,C,C,D,B,D,C,C,C,D,C,D,D
57,C,B,D,B,A,A,D,A,A,C,B,D,A,B,C,B,A,A,A,A,D,C,D,A,C,B,D,B,A,B,B,D,C,A,C,D,A,B,C,B,A,C,A,B,B,A,C,C,C,B,B,B,B,A,C,C,D,C,D,C
