,Sex1,Sex2,Sex3,Sex4,Sex5,Sex6,Sex7,Sex8,Sex9,Sex10,Sex11,Sex12,Sex13,Sex14,Sex15,Sex16,Sex17,Sex18,Sex19,Sex20,Sex21,Sex22,Sex23,Sex24,Sex25,Sex26,Sex27,Sex28,Sex29,Sex30,Sex31,Sex32,Sex33,Sex34,Sex35,Sex36,Sex37,Sex38,Sex39,Sex40,Sex41,Sex42,Sex43,Sex44,Sex45,Sex46A,Sex46B,Sex46C,Sex46D,Sex46E,Sex47,Sex48,Sex49,Sex50,Sex51,Sex52,Sex53,Sex54,Sex55,Sex56,Sex57,Sex58,Sex59,Sex60,Sex61,Sex62,Sex63,Sex64,Sex65,Sex66,Sex67,Sex68,Sex69,Sex70,Sex71,Sex72,Sex73,Sex74,Sex75
33,D,A,D,D,D,A,D,B,D,D,D,D,A,A,B,B,B,C,B,B,A,B,A,B,B,B,B,A,B,B,C,C,C,A,C,B,B,B,A,A,A,D,A,A,A,,B,,,,A,A,C,C,B,D,C,C,A,A,D,A,A,A,A,B,A,B,B,B,B,A,A,A,D,A,B,D,A
34,B,B,E,B,D,C,D,D,D,D,D,D,A,D,C,D,D,D,A,B,A,A,A,A,A,A,A,A,C,A,D,B,C,A,F,C,E,B,B,B,D,E,E,E,E,,,,,E,A,A,E,E,A,C,D,D,A,A,B,A,B,A,A,A,C,B,C,F,A,E,E,E,E,D,D,B,C
35,D,A,C,B,B,B,D,C,D,D,D,D,A,C,B,D,A,C,A,A,A,B,B,C,B,C,A,A,B,C,D,D,B,A,D,A,B,B,A,B,A,D,A,A,A,,B,,,,C,A,C,B,B,B,C,C,A,A,A,A,A,A,A,A,A,B,B,B,A,A,A,A,A,A,A,C,A
36,D,A,D,D,C,B,D,D,D,D,D,D,A,C,A,C,A,C,A,A,A,A,A,B,A,A,A,A,D,A,D,A,A,A,D,A,B,A,B,A,A,D,A,A,A,,,,,E,A,A,C,B,A,B,D,D,A,A,B,A,A,A,A,A,A,B,B,B,B,A,B,E,C,B,B,C,A
37,A,A,B,B,D,D,D,D,D,D,D,D,B,D,A,D,A,D,A,A,A,D,A,D,A,D,A,A,D,B,D,B,B,A,F,C,E,B,B,B,D,E,E,E,E,A,,,,E,A,A,E,E,A,A,D,B,A,A,A,A,A,A,A,A,C,B,C,F,A,E,E,E,E,D,D,D,C
38,C,A,D,B,B,B,D,B,D,D,D,D,A,C,A,C,A,C,A,A,A,A,A,A,A,A,A,A,C,D,D,D,C,A,D,B,C,B,B,B,A,D,A,A,A,,,,D,,A,A,B,B,B,C,C,D,A,A,A,A,A,A,B,B,A,B,B,B,A,A,A,A,C,C,C,A,C
39,C,A,C,B,D,C,D,D,D,D,D,D,C,C,B,D,D,D,D,D,B,C,B,C,B,C,B,B,A,C,D,C,C,A,C,A,A,B,B,B,A,D,A,A,A,,,,,E,E,A,D,A,A,B,D,C,A,A,A,A,A,A,A,A,B,B,B,C,B,A,A,D,A,C,C,C,A
40,A,A,E,D,D,D,D,D,D,D,D,D,A,D,A,D,D,D,A,A,A,B,A,D,C,C,B,A,C,B,B,C,C,A,F,C,E,B,B,B,D,E,E,E,E,A,,,,,A,A,E,E,A,B,D,D,A,A,A,A,A,A,A,A,C,B,C,F,A,E,E,E,E,D,D,D,A
41,D,A,B,B,B,A,D,A,D,A,D,D,A,C,A,A,B,B,A,A,A,A,A,A,A,B,A,A,D,A,D,B,C,A,B,A,B,B,B,A,B,B,A,A,A,A,B,,D,,A,A,C,B,C,A,C,A,B,C,A,A,B,C,B,B,B,B,B,D,C,B,C,A,B,A,C,C,A
42,C,A,D,A,B,A,D,C,D,C,D,D,A,A,A,C,B,C,B,B,A,B,A,C,B,C,A,A,B,D,D,D,C,B,C,A,B,B,B,B,A,C,A,B,A,,,,D,,C,A,C,C,B,B,D,D,B,B,B,C,B,C,B,A,A,B,B,A,C,B,B,B,B,A,A,D,C
43,D,A,C,A,D,B,D,B,D,C,D,D,B,C,A,D,B,C,B,B,A,A,A,B,A,B,A,A,C,B,C,B,A,A,B,B,C,B,B,B,C,C,A,A,A,A,B,,,,C,A,C,D,B,A,C,C,B,B,C,C,B,C,B,B,B,B,B,A,C,A,C,B,C,C,C,C,A
44,D,A,D,B,D,A,D,A,D,A,D,D,A,D,A,D,A,D,A,A,A,A,A,A,A,A,A,A,D,B,D,B,C,A,B,A,B,A,B,A,A,D,A,B,A,A,,,D,,E,A,C,C,A,A,D,C,A,A,A,B,A,A,A,A,A,B,B,B,B,A,A,A,A,A,C,D,A
45,C,A,D,A,D,B,D,D,D,D,D,D,A,B,A,C,D,C,A,D,A,D,A,A,A,D,A,A,D,A,D,B,C,A,D,A,A,B,B,B,A,D,A,A,A,A,,,D,,A,A,D,A,A,A,D,D,A,A,A,A,A,A,A,A,A,B,B,B,B,A,A,A,A,C,C,D,A
46,B,A,E,A,D,D,D,D,D,D,D,D,A,B,A,B,A,B,A,A,A,B,A,B,A,A,A,A,D,A,D,C,C,A,F,C,E,B,B,B,D,E,E,E,E,A,,,,E,A,A,E,E,A,A,D,D,A,A,A,A,A,A,A,A,C,B,C,F,A,E,E,E,E,D,D,B,C
47,A,A,C,C,D,D,D,D,D,D,D,D,B,B,B,B,B,C,B,B,B,C,B,C,B,C,B,B,C,C,D,C,C,A,F,C,E,B,A,B,D,E,E,E,E,,,,,E,A,A,E,E,B,B,C,C,A,A,A,B,A,A,B,A,C,B,C,F,A,E,E,E,E,D,D,B,A
48,D,A,A,B,C,B,D,A,D,D,D,B,A,B,A,C,B,D,A,A,A,A,A,B,A,A,A,A,C,C,D,C,B,A,B,A,B,B,A,A,A,D,A,A,A,A,,,,,D,A,C,A,B,B,C,B,A,A,A,B,D,B,B,B,B,B,A,C,C,A,B,A,B,A,A,B,C
49,B,A,D,A,D,B,D,B,D,C,D,D,A,C,A,C,B,C,A,A,A,C,A,C,A,C,A,A,C,B,D,C,A,A,F,C,E,B,B,B,D,E,E,E,E,A,,,,,A,A,E,E,B,B,C,D,B,B,B,B,B,B,B,A,C,B,C,F,E,E,E,E,E,D,D,C,C
50,D,A,C,D,B,B,D,B,D,A,D,D,A,D,A,D,B,D,A,A,A,A,A,A,A,B,A,A,D,B,D,C,B,A,D,B,B,B,B,A,A,D,A,B,A,A,,,D,E,A,A,B,B,B,A,D,B,A,A,A,B,B,A,A,A,A,B,B,B,E,A,B,D,B,A,C,A,A
51,D,A,C,A,C,A,D,B,D,B,D,D,A,A,A,B,A,C,A,A,A,B,A,B,A,B,A,A,C,B,D,C,C,A,D,A,B,B,A,B,A,D,A,A,A,A,,,D,,A,A,B,A,C,A,C,C,A,A,B,B,B,A,B,B,B,B,B,B,C,A,A,A,C,C,C,B,A
