trial,money_left,proba_left,money_right,proba_right,choiceP,biggerchosenP,pairP,time,date
334,197,90,1182,40,right,0,26,7.331,Thu May 25 12:18:54 2017
335,591,70,197,90,left,0,35,1.284,Thu May 25 12:18:56 2017
336,1576,20,1773,10,right,0,1,2.049,Thu May 25 12:18:58 2017
337,197,90,788,60,right,0,33,1.189,Thu May 25 12:19:00 2017
338,591,70,788,60,right,0,31,1.747,Thu May 25 12:19:02 2017
339,591,70,394,80,left,0,34,1.425,Thu May 25 12:19:04 2017
340,1182,40,591,70,left,0,24,1.463,Thu May 25 12:19:06 2017
341,1379,30,197,90,left,0,21,1.005,Thu May 25 12:19:08 2017
342,197,90,1576,20,right,0,15,1.223,Thu May 25 12:19:10 2017
343,1773,10,591,70,left,0,6,0.846,Thu May 25 12:19:11 2017
344,591,70,1379,30,right,0,19,1.123,Thu May 25 12:19:13 2017
345,591,70,394,80,left,0,34,4.756,Thu May 25 12:19:18 2017
346,1576,20,1182,40,left,0,10,0.796,Thu May 25 12:19:19 2017
347,1576,20,1379,30,left,0,9,2.466,Thu May 25 12:19:23 2017
348,394,80,197,90,right,1,36,3.122,Thu May 25 12:19:26 2017
349,985,50,197,90,left,0,30,1.62,Thu May 25 12:19:29 2017
350,394,80,197,90,right,1,36,2.052,Thu May 25 12:19:31 2017
351,1379,30,1182,40,left,0,16,2.714,Thu May 25 12:19:34 2017
352,1182,40,197,90,left,0,26,2.104,Thu May 25 12:19:37 2017
353,1576,20,1379,30,left,0,9,2.858,Thu May 25 12:19:41 2017
354,788,60,197,90,left,0,33,1.196,Thu May 25 12:19:43 2017
355,197,90,985,50,right,0,30,1.34,Thu May 25 12:19:45 2017
356,394,80,1773,10,right,0,7,2.301,Thu May 25 12:19:47 2017
357,394,80,1379,30,right,0,20,1.025,Thu May 25 12:19:49 2017
358,591,70,788,60,right,0,31,1.309,Thu May 25 12:19:51 2017
359,985,50,1576,20,right,0,11,1.113,Thu May 25 12:19:52 2017
360,394,80,1773,10,right,0,7,1.187,Thu May 25 12:19:54 2017
