"n_participante","condicion","escala","duraciones","r_correctas","respuestas","r_corr_b","rt"
2,"Aleatoria","A",625,"s","s",1,1.118963957
2,"Aleatoria","A",812,"s","l",0,1.336072922
2,"Aleatoria","A",1000,"l","s",0,1.652648926
2,"Aleatoria","A",938,"l","l",1,1.519300938
2,"Aleatoria","A",625,"s","s",1,1.0860641
2,"Aleatoria","A",625,"s","s",1,1.267484188
2,"Aleatoria","A",938,"l","s",0,1.00265193
2,"Aleatoria","A",750,"s","s",1,0.919497013
2,"Aleatoria","A",687,"s","s",1,1.053609848
2,"Aleatoria","A",1000,"l","s",0,4.318687916
2,"Aleatoria","A",750,"s","l",0,1.651972055
2,"Aleatoria","A",750,"s","l",0,1.502696037
2,"Aleatoria","A",1063,"l","s",0,1.469216108
2,"Aleatoria","A",875,"l, s","s",0,1.735790014
2,"Aleatoria","A",625,"s","s",1,1.135941029
2,"Aleatoria","A",812,"s","s",1,1.418795109
2,"Aleatoria","A",1125,"l","l",1,1.434699774
2,"Aleatoria","A",812,"s","s",1,1.202543974
2,"Aleatoria","A",1000,"l","s",0,1.453720093
2,"Aleatoria","A",1063,"l","l",1,0.819440842
2,"Aleatoria","A",1063,"l","l",1,1.852895021
2,"Aleatoria","A",687,"s","s",1,0.352713108
2,"Aleatoria","A",875,"l, s","l",0,0.836642027
2,"Aleatoria","A",1125,"l","s",0,2.38645792
2,"Aleatoria","A",875,"l, s","s",0,0.918819189
2,"Aleatoria","A",812,"s","s",1,1.70300293
2,"Aleatoria","A",938,"l","s",0,1.503421068
2,"Aleatoria","A",687,"s","s",1,1.385112047
2,"Aleatoria","A",1125,"l","l",1,1.235414028
2,"Aleatoria","A",687,"s","l",0,1.71897006
2,"Aleatoria","A",1125,"l","l",1,1.903243065
2,"Aleatoria","A",1063,"l","l",1,0.752239943
2,"Aleatoria","A",1063,"l","l",1,1.38560009
2,"Aleatoria","A",1063,"l","l",1,1.366790056
2,"Aleatoria","A",938,"l","s",0,1.336556911
2,"Aleatoria","A",1000,"l","l",1,1.569971085
2,"Aleatoria","A",875,"l, s","s",0,0.920264006
2,"Aleatoria","A",938,"l","s",0,1.152221918
2,"Aleatoria","A",812,"s","l",0,1.086291075
2,"Aleatoria","A",875,"l, s","s",0,1.186234951
2,"Aleatoria","A",687,"s","l",0,1.052493095
2,"Aleatoria","A",1000,"l","l",1,1.218934059
2,"Aleatoria","A",1125,"l","s",0,1.336374998
2,"Aleatoria","A",750,"s","l",0,0.753008842
2,"Aleatoria","A",875,"l, s","l",0,1.602079868
2,"Aleatoria","A",812,"s","s",1,0.96829915
2,"Aleatoria","A",1000,"l","l",1,1.252745867
2,"Aleatoria","A",625,"s","s",1,1.952651978
2,"Aleatoria","A",750,"s","l",0,1.401811838
2,"Aleatoria","A",687,"s","s",1,0.53344512
2,"Aleatoria","A",750,"s","s",1,1.419897079
2,"Aleatoria","A",812,"s","l",0,1.136245012
2,"Aleatoria","A",625,"s","s",1,1.419358015
2,"Aleatoria","A",1125,"l","l",1,0.57001996
2,"Aleatoria","A",938,"l","l",1,1.535933018
2,"Aleatoria","A",625,"s","s",1,0.753043175
2,"Aleatoria","A",812,"s","s",1,2.786001205
2,"Aleatoria","A",875,"l, s","l",0,1.684668064
2,"Aleatoria","A",1125,"l","l",1,1.085882902
2,"Aleatoria","A",875,"l, s","s",0,2.119133949
2,"Aleatoria","A",1063,"l","l",1,1.085392952
2,"Aleatoria","A",938,"l","s",0,2.399625063
2,"Aleatoria","A",750,"s","l",0,1.952548981
2,"Aleatoria","A",812,"s","s",1,1.119349003
2,"Aleatoria","A",1063,"l","l",1,1.05181694
2,"Aleatoria","A",1000,"l","l",1,1.30268383
2,"Aleatoria","A",938,"l","l",1,1.719077826
2,"Aleatoria","A",625,"s","s",1,1.018785
2,"Aleatoria","A",1000,"l","s",0,2.119606018
2,"Aleatoria","A",1063,"l","s",0,1.669353962
2,"Aleatoria","A",875,"l, s","l",0,0.953534126
2,"Aleatoria","A",687,"s","s",1,1.319803
2,"Aleatoria","A",750,"s","l",0,1.036909103
2,"Aleatoria","A",1000,"l","l",1,1.28639698
2,"Aleatoria","A",750,"s","s",1,2.603666067
2,"Aleatoria","A",687,"s","l",0,2.102535963
2,"Aleatoria","A",1125,"l","l",1,0.769255877
2,"Aleatoria","A",1125,"l","l",1,0.852241993
2,"Aleatoria","A",625,"s","s",1,0.535925865
2,"Aleatoria","A",938,"l","s",0,1.069135189
2,"Aleatoria","A",687,"s","s",1,0.752784967
2,"Aleatoria","A",625,"s","s",1,2.002590895
2,"Aleatoria","A",812,"s","l",0,1.686760902
2,"Aleatoria","A",687,"s","s",1,1.069790125
2,"Aleatoria","A",625,"s","s",1,1.002511978
2,"Aleatoria","A",812,"s","s",1,1.135261059
2,"Aleatoria","A",1125,"l","l",1,0.452773094
2,"Aleatoria","A",1000,"l","l",1,0.93534708
2,"Aleatoria","A",875,"l, s","s",0,2.269713879
2,"Aleatoria","A",1063,"l","l",1,0.551652908
2,"Aleatoria","A",750,"s","s",1,0.702843904
2,"Aleatoria","A",938,"l","s",0,1.53626895
2,"Aleatoria","A",812,"s","l",0,1.952087164
2,"Aleatoria","A",938,"l","s",0,1.385329962
2,"Aleatoria","A",750,"s","s",1,1.335113049
2,"Aleatoria","A",625,"s","s",1,0.453310966
2,"Aleatoria","A",687,"s","s",1,1.135650873
2,"Aleatoria","A",1000,"l","l",1,0.602987051
2,"Aleatoria","A",1125,"l","l",1,1.98395586
