"participante","condicion","escala","secuencia","duracion","corto","largo","largo_p"
3,"Bloque","A",3,1700,13,7,0.35
3,"Bloque","A",3,1750,13,7,0.35
3,"Bloque","A",3,1800,7,13,0.65
3,"Bloque","A",3,1850,5,15,0.75
3,"Bloque","A",3,1900,5,15,0.75
3,"Bloque","A",3,1950,1,19,0.95
3,"Bloque","A",4,1550,20,0,0
3,"Bloque","A",4,1600,17,3,0.15
3,"Bloque","A",4,1650,19,1,0.05
3,"Bloque","A",4,1700,13,7,0.35
3,"Bloque","A",4,1750,14,6,0.3
3,"Bloque","A",4,1800,5,15,0.75
3,"Bloque","A",4,1850,2,18,0.9
3,"Bloque","A",4,1900,1,19,0.95
3,"Bloque","A",4,1950,3,17,0.85
3,"Bloque","A",5,1550,20,0,0
3,"Bloque","A",5,1600,19,1,0.05
3,"Bloque","A",5,1650,16,4,0.2
3,"Bloque","A",5,1700,14,6,0.3
3,"Bloque","A",5,1750,7,13,0.65
3,"Bloque","A",5,1800,7,13,0.65
3,"Bloque","A",5,1850,4,16,0.8
3,"Bloque","A",5,1900,2,18,0.9
3,"Bloque","A",5,1950,4,16,0.8
3,"Aleatoria","B",3,900,18,2,0.1
3,"Aleat","B",3,937,16,4,0.2
3,"Aleat","B",3,975,12,8,0.4
3,"Aleat","B",3,1012,8,12,0.6
3,"Aleat","B",3,1050,6,14,0.7
3,"Aleat","B",3,1088,12,8,0.4
3,"Aleat","B",3,1125,9,11,0.55
3,"Aleat","B",3,1163,5,15,0.75
3,"Aleat","B",3,1200,6,14,0.7
3,"Aleat","B",4,900,18,2,0.1
3,"Aleat","B",4,937,18,2,0.1
3,"Aleat","B",4,975,17,3,0.15
3,"Aleat","B",4,1012,12,8,0.4
3,"Aleat","B",4,1050,15,5,0.25
3,"Aleat","B",4,1088,12,8,0.4
3,"Aleat","B",4,1125,12,8,0.4
3,"Aleat","B",4,1163,10,10,0.5
3,"Aleat","B",4,1200,7,13,0.65
3,"Aleat","B",5,900,20,0,0
3,"Aleat","B",5,937,19,1,0.05
3,"Aleat","B",5,975,18,2,0.1
3,"Aleat","B",5,1012,14,6,0.3
3,"Aleat","B",5,1050,15,5,0.25
3,"Aleat","B",5,1088,14,6,0.3
3,"Aleat","B",5,1125,8,12,0.6
3,"Aleat","B",5,1163,7,13,0.65
