"tonos","correctas","respuesta","correcto","RT","date","frameRate","expName","session","participant","n_participante","condiciones","escal","duraciones"
"tonos/5_188me_A.wav","s","s",1,1.168597937,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",687
"tonos/5_63ma_A.wav","l","l",1,0.951560974,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",938
"tonos/5_0_A.wav","l, s","l",0,1.718641996,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",875
"tonos/5_125me_A.wav","s","s",1,4.202164888,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",750
"tonos/5_188ma_A.wav","l","l",1,0.91928792,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",1063
"tonos/5_250ma_A.wav","l","l",1,1.119273901,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",1125
"tonos/5_0_A.wav","l, s","s",0,2.484920979,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",875
"tonos/5_63ma_A.wav","l","s",0,3.80212307,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",938
"tonos/5_188me_A.wav","s","s",1,1.035753965,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",687
"tonos/5_125ma_A.wav","l","l",1,0.735316038,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",1000
"tonos/5_250ma_A.wav","l","l",1,1.151335955,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",1125
"tonos/5_125me_A.wav","s","s",1,2.935335875,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",750
"tonos/5_63me_A.wav","s","s",1,1.918810844,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",812
"tonos/5_188ma_A.wav","l","l",1,0.868590832,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",1063
"tonos/5_250me_A.wav","s","s",1,1.051940203,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",625
"tonos/5_188ma_A.wav","l","l",1,0.952167988,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",1063
"tonos/5_63me_A.wav","s","s",1,2.268706083,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",812
"tonos/5_63ma_A.wav","l","s",0,1.584848881,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",938
"tonos/5_125ma_A.wav","l","l",1,0.985523939,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",1000
"tonos/5_188me_A.wav","s","s",1,0.88357091,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",687
"tonos/5_125me_A.wav","s","s",1,2.035749912,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",750
"tonos/5_250me_A.wav","s","s",1,1.502767086,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",625
"tonos/5_0_A.wav","l, s","s",0,4.753593922,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",875
"tonos/5_250ma_A.wav","l","l",1,0.902482033,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",1125
"tonos/5_188me_A.wav","s","s",1,1.169013977,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",687
"tonos/5_250ma_A.wav","l","l",1,1.068710804,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",1125
"tonos/5_63me_A.wav","s","s",1,0.769077063,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",812
"tonos/5_63ma_A.wav","l","s",0,2.668933153,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",938
"tonos/5_125me_A.wav","s","s",1,2.218672991,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",750
"tonos/5_188ma_A.wav","l","l",1,1.102338791,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",1063
"tonos/5_125ma_A.wav","l","l",1,1.102373838,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",1000
"tonos/5_0_A.wav","l, s","l",0,0.818514109,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",875
"tonos/5_250me_A.wav","s","s",1,0.868365049,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",625
"tonos/5_63ma_A.wav","l","l",1,1.851475,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",938
"tonos/5_188ma_A.wav","l","l",1,0.901947021,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",1063
"tonos/5_0_A.wav","l, s","s",0,2.401949883,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",875
"tonos/5_125ma_A.wav","l","l",1,1.902204037,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",1000
"tonos/5_63me_A.wav","s","l",0,2.318054914,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",812
"tonos/5_250me_A.wav","s","s",1,0.885684013,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",625
"tonos/5_250ma_A.wav","l","l",1,0.652058125,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",1125
"tonos/5_125me_A.wav","s","s",1,1.768137932,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",750
"tonos/5_188me_A.wav","s","s",1,0.852806091,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",687
"tonos/5_188ma_A.wav","l","l",1,0.586265087,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",1063
"tonos/5_125me_A.wav","s","s",1,1.102208138,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",750
"tonos/5_250me_A.wav","s","s",1,1.002154827,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",625
"tonos/5_125ma_A.wav","l","l",1,0.718621969,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",1000
"tonos/5_63me_A.wav","s","s",1,2.885485888,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",812
"tonos/5_0_A.wav","l, s","s",0,3.152219057,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",875
"tonos/5_188me_A.wav","s","s",1,0.835709095,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",687
"tonos/5_63ma_A.wav","l","l",1,1.534434795,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",938
"tonos/5_250ma_A.wav","l","l",1,0.901738882,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",1125
"tonos/5_63ma_A.wav","l","l",1,1.20172596,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",938
"tonos/5_125me_A.wav","s","s",1,1.834603071,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",750
"tonos/5_188me_A.wav","s","s",1,2.968405008,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",687
"tonos/5_63me_A.wav","s","s",1,2.250939131,"2018_Apr_23_1403",59.95314445,"Experimento_Prueba",2,"JaquelineeeeeBloqueA",17,"Bloque","A",812
