Folio,Género,Edad,Escuela,Grit1,Grit2,Grit3,Grit4,Grit5,Grit6,Grit7,Grit8,ThetaPE,ThetaCI
294,1,2,2,2,1,1,2,0,1,2,0,-1.7839738,.47236976
295,1,2,2,2,3,2,1,2,1,1,2,-.029526439,.091056138
296,1,0,2,,,,,,,,,,
297,1,0,2,1,1,2,1,2,1,2,,-.69203508,.27232775
298,0,1,2,0,3,3,3,2,2,3,3,.58610678,1.6768662
299,1,1,2,1,3,1,1,2,1,1,2,-.029526439,-.39136755
300,1,2,2,0,3,0,0,3,3,0,3,1.5962187,-1.9067848
301,1,0,2,2,1,2,3,1,1,2,1,-1.2106394,1.0795684
302,1,1,2,3,3,2,2,3,3,3,3,1.5962187,1.2753807
303,1,2,2,3,2,3,2,1,0,3,3,-.58077872,1.6562328
304,1,0,2,1,2,0,0,2,1,0,2,-.31552058,-1.6141624
305,1,1,2,1,1,2,1,1,0,2,0,-1.6527984,.27232775
306,1,0,2,0,1,0,0,2,2,0,1,-.62370199,-1.9067848
307,1,2,2,1,2,1,0,2,3,1,2,.20908262,-.74469846
308,0,1,2,0,3,1,2,0,1,1,2,-.70451689,-.19357902
309,0,1,2,0,1,0,2,3,3,2,2,.39187685,-.10607889
310,0,2,2,2,3,3,3,3,3,3,3,1.5962187,1.888316
311,0,0,2,0,1,1,2,2,2,2,2,-.33721483,.19042993
312,1,0,2,2,1,3,3,1,3,3,2,-.51082033,1.888316
313,0,1,2,2,1,2,2,2,1,1,2,-.60401618,.44643846
314,,,2,0,2,0,0,2,3,0,0,-.13768901,-1.9067848
315,1,2,2,3,3,2,2,3,3,2,3,1.5962187,.93756354
316,0,0,2,1,2,2,1,2,2,2,2,-.064017087,.27232775
317,1,0,2,2,1,1,2,1,1,1,2,-.9690001,.11516648
318,1,1,2,1,2,2,2,1,1,2,2,-.69655955,.61830294
319,1,1,2,0,2,0,0,3,3,0,3,1.0915484,-1.9067848
320,1,1,2,2,1,1,1,2,2,2,2,-.33721483,.11393275
321,1,1,2,2,2,2,1,2,2,1,3,.25828463,.091056138
322,1,0,2,,,,,,,,,,
323,1,1,3,1,2,1,1,2,2,1,2,-.064017087,-.39136755
324,0,0,3,1,2,2,3,3,2,1,3,.70286113,.52825481
325,0,0,3,2,2,1,2,2,2,2,2,-.064017087,.47236976
326,1,1,3,2,2,1,1,2,1,1,2,-.31552058,-.23124489
328,0,0,3,2,2,1,2,2,2,1,2,-.064017087,.11516648
329,1,0,3,1,2,2,2,1,1,2,1,-.96225196,.61830294
330,1,0,3,3,3,3,3,3,3,2,2,1.047439,1.6627078
332,0,0,3,1,1,1,2,1,1,2,1,-1.2106394,.30004558
333,1,1,3,1,2,2,2,2,1,1,2,-.31552058,.27485308
334,0,0,3,1,2,1,1,2,3,1,3,.57535625,-.39136755
335,0,0,3,2,3,2,3,2,3,3,2,.53782457,1.4625223
336,1,1,3,2,2,3,3,2,3,1,3,.57535625,1.0849557
337,1,1,3,0,2,1,1,2,2,1,1,-.3280234,-.53172952
340,0,0,3,1,2,1,1,2,2,1,0,-.4312712,-.39136755
343,0,1,3,3,2,2,2,2,2,2,3,.25828463,.93756354
344,1,0,3,3,2,2,2,3,2,1,2,.3194226,.60748893
346,1,1,3,2,1,2,2,1,2,1,3,-.45296574,.44643846
347,0,0,3,2,2,2,2,2,1,2,1,-.59841353,.77397722
348,1,1,3,2,1,1,1,2,3,1,2,-.073147371,-.23124489
349,1,0,3,2,1,0,1,2,1,3,2,-.60401618,.05228664
351,1,0,3,2,1,2,3,1,2,1,1,-.99113524,.72839004
352,1,0,3,0,2,0,0,2,2,0,2,-.064017087,-1.9067848
353,,0,3,2,1,2,0,2,3,3,3,.3149814,.49279231
354,0,0,3,0,2,2,1,3,1,0,0,-.40008405,-.58217269
356,0,0,3,2,3,1,1,3,2,1,2,.66415358,-.23124489
357,0,1,3,2,2,2,2,2,2,2,2,-.064017087,.77397722
358,0,0,3,1,1,1,1,1,1,1,1,-1.2106394,-.39136755
359,0,0,3,1,3,1,0,3,1,2,3,.91586554,-.40391853
360,1,1,3,1,2,2,2,3,0,2,2,-.039799824,.61830294
361,0,1,3,0,3,3,3,2,0,2,3,.29041275,1.1879904
362,1,2,3,2,2,1,1,3,3,1,2,.6538915,-.23124489
363,0,0,3,2,2,2,2,1,2,2,2,-.43684897,.77397722
364,0,0,3,2,1,1,1,2,2,1,1,-.62370199,-.23124489
365,0,0,3,0,3,0,0,3,3,1,3,1.5962187,-1.3417779
367,0,3,3,1,3,2,3,1,1,2,2,-.45704064,.91137826
368,0,0,3,1,1,1,1,1,1,1,1,-1.2106394,-.39136755
369,0,3,3,2,3,1,1,1,2,0,1,-.47471175,-.56466365
370,1,1,3,1,1,1,2,2,2,2,2,-.33721483,.30004558
371,1,0,3,1,2,1,1,2,2,2,1,-.3280234,-.060038511
373,1,1,3,1,1,2,2,1,2,2,2,-.72197121,.61830294
374,0,1,3,2,2,3,3,1,1,3,2,-.69655955,1.888316
375,0,0,3,2,3,1,1,3,3,1,3,1.5962187,-.23124489
376,1,0,3,0,1,0,0,3,3,0,0,-.027379906,-1.9067848
377,0,2,3,2,2,1,1,2,2,1,2,-.064017087,-.23124489
378,0,0,3,2,1,2,2,2,2,2,2,-.33721483,.77397722
379,1,0,3,1,3,1,2,0,2,0,0,-.97336721,-.39683262
380,0,0,3,1,2,0,0,2,2,1,2,-.064017087,-1.1218179
381,1,1,3,0,0,0,0,0,0,0,0,-2.4811723,-1.9067848
382,0,0,3,3,3,3,3,3,3,3,3,1.5962187,2.1848817
383,0,0,3,2,2,1,2,2,1,1,2,-.31552058,.11516648
384,0,0,3,3,3,2,1,3,3,1,2,1.047439,.23338215
385,1,1,3,2,2,1,3,2,3,3,3,.57535625,1.1546477
386,1,1,3,2,2,2,2,1,0,2,2,-.85682172,.77397722
387,1,0,3,0,1,0,0,2,1,1,1,-.88684392,-1.3417779
390,0,0,3,1,2,2,2,1,0,2,2,-.85682172,.61830294
391,0,2,3,2,2,2,3,3,2,1,2,.3194226,.72839004
393,0,0,3,3,2,2,2,2,2,2,2,-.064017087,.93756354
394,1,1,3,3,0,3,2,1,2,0,1,-1.1557347,.71657252
395,1,0,3,3,1,2,2,1,1,2,1,-1.2106394,.93756354
396,0,1,3,3,0,0,1,0,0,0,1,-2.0589819,-.84651077
397,0,0,3,1,2,1,1,2,2,2,2,-.064017087,-.060038511
398,1,1,3,2,2,2,0,2,2,0,2,-.064017087,-.64313632
399,1,2,3,2,2,2,2,1,3,1,1,-.50224477,.44643846
400,1,2,3,3,3,1,1,3,2,0,3,1.0983543,-.45198154
402,0,0,3,2,2,2,2,2,3,3,2,.20908262,1.0766572
403,0,0,3,1,2,2,2,1,1,1,2,-.69655955,.27485308
404,1,0,3,3,2,2,0,0,2,2,3,-.29358345,.37953538
406,,0,3,3,2,2,3,3,2,2,3,.70286113,1.2795445
407,0,0,3,0,3,1,0,3,3,0,0,.86303353,-1.3841718
408,0,1,3,0,2,3,1,3,1,1,3,.4775022,-.049906753
409,0,0,3,1,2,2,2,2,2,1,2,-.064017087,.27485308
410,0,0,3,2,1,2,0,1,1,2,0,-1.4087995,.19893241
411,0,0,3,2,2,2,2,0,3,2,1,-.76796329,.77397722
412,0,0,3,3,3,2,1,1,,2,2,-.18715057,.60290915
414,,0,3,3,3,2,3,1,3,3,3,.65881711,1.7032012
415,0,0,3,2,3,2,3,2,2,3,2,.22404699,1.4625223
417,0,1,1,3,2,2,2,1,2,1,2,-.43684897,.60748893
418,0,2,1,0,2,1,2,1,2,1,2,-.43684897,-.19357902
419,1,3,1,0,2,1,1,2,2,0,2,-.064017087,-.91184765
420,0,1,1,1,3,0,0,2,0,1,3,.29041275,-1.1218179
421,1,1,1,1,2,1,0,3,3,2,3,1.0915484,-.40391853
422,1,1,1,3,2,2,2,2,2,1,2,-.064017087,.60748893
423,0,1,1,0,3,0,0,3,3,0,3,1.5962187,-1.9067848
424,0,2,1,1,3,2,1,1,0,0,2,-.61180043,-.40504989
425,0,1,1,0,2,1,1,2,3,1,2,.20908262,-.53172952
426,1,1,3,3,3,2,3,2,2,3,2,.22404699,1.7032012
427,1,0,3,0,2,2,2,2,2,1,0,-.4312712,.16501163
428,0,0,3,1,2,1,1,2,3,1,2,.20908262,-.39136755
429,0,0,3,1,1,1,1,1,1,1,1,-1.2106394,-.39136755
430,0,0,3,1,2,1,1,3,2,1,2,.3194226,-.39136755
431,1,1,3,1,1,1,1,1,2,1,1,-.99113524,-.39136755
432,1,1,3,0,3,0,0,3,3,0,3,1.5962187,-1.9067848
433,0,1,1,2,3,0,0,3,3,1,3,1.5962187,-.95542222
434,0,1,1,0,1,0,0,2,3,0,2,-.073147371,-1.9067848
435,0,1,1,1,2,0,0,3,3,2,3,1.0915484,-.81147075
436,0,1,1,1,2,1,1,2,2,1,2,-.064017087,-.39136755
437,0,1,1,2,2,1,0,2,3,1,2,.20908262,-.57591611
438,0,1,1,1,3,1,0,3,1,0,3,.91586554,-1.1605165
439,0,1,1,0,2,2,2,2,3,2,2,.20908262,.53535259
440,0,1,1,2,2,2,1,2,2,2,2,-.064017087,.44280446
441,1,1,1,1,1,2,2,1,2,1,1,-.99113524,.27485308
442,0,1,1,2,1,1,1,1,2,2,2,-.72197121,.11393275
443,1,1,1,3,2,2,2,1,2,1,2,-.43684897,.60748893
444,0,1,1,1,3,0,0,2,3,0,2,.53782457,-1.6141624
445,1,2,1,1,2,1,1,2,2,1,3,.25828463,-.39136755
446,1,2,1,0,3,1,1,2,3,1,3,.9500668,-.53172952
447,0,1,1,1,3,1,0,3,3,1,3,1.5962187,-.74469846
448,0,1,1,0,2,1,1,2,2,1,2,-.064017087,-.53172952
449,0,1,1,2,3,0,0,3,3,0,3,1.5962187,-1.4586514
450,1,1,1,0,3,1,0,3,3,2,3,1.5962187,-.58761358
451,0,1,1,0,3,0,0,3,3,0,3,1.5962187,-1.9067848
452,0,1,1,1,2,1,1,2,3,1,3,.57535625,-.39136755
453,0,1,1,2,3,1,1,2,3,0,3,.9500668,-.56466365
454,0,1,1,1,2,1,1,2,2,1,2,-.064017087,-.39136755
455,1,1,1,2,2,2,2,3,1,2,2,.057511143,.77397722
456,1,1,1,1,2,0,1,3,3,0,3,1.0915484,-1.1110746
457,1,1,1,1,1,1,1,2,3,1,2,-.073147371,-.39136755
458,1,1,1,0,0,1,3,1,2,1,0,-1.3948994,-.015864471
459,0,1,1,3,2,1,1,3,1,2,2,.057511143,.25954804
460,0,1,1,2,3,2,2,1,3,2,3,.65881711,.77397722
461,0,2,1,0,2,2,2,3,2,3,2,.3194226,.83153886
462,0,2,1,1,2,1,2,1,2,1,3,-.12513666,-.060567442
463,0,1,1,1,3,1,1,2,3,1,3,.9500668,-.39136755
464,0,1,1,1,3,1,1,2,3,1,3,.9500668,-.39136755
465,1,3,1,2,0,2,2,0,0,3,0,-2.4811723,1.0766572
466,0,1,1,1,2,0,0,2,3,1,3,.57535625,-1.1218179
467,0,1,1,2,3,1,1,3,3,1,3,1.5962187,-.23124489
468,0,1,1,0,2,2,0,2,2,0,2,-.064017087,-1.0938256
469,1,2,4,2,1,1,1,2,2,1,3,-.016713744,-.23124489
470,0,1,4,0,3,1,0,3,3,1,3,1.5962187,-.92272121
471,0,1,4,3,0,0,0,0,0,1,1,-2.0589819,-.85925108
472,1,3,4,0,1,0,1,0,1,2,2,-1.2707134,-.53549308
473,0,1,4,0,0,0,0,0,0,0,0,-2.4811723,-1.9067848
474,0,1,4,1,1,1,1,1,1,1,1,-1.2106394,-.39136755
475,0,2,4,2,2,2,2,2,2,1,2,-.064017087,.44643846
476,1,2,4,3,3,3,0,3,3,2,3,1.5962187,.70053995
477,0,1,4,0,2,1,1,3,3,1,3,1.0915484,-.53172952
