Folio,Género,Edad,Escuela,Max1,Max2,Max3,Max4,Max5,Max6,Max7,Max8,Max9,Max10,Max11,Max12,Max13,Max14,Max15,ThetaBA,ThetaCon,ThetaDD
91,0,1,1,2,1,1,1,3,2,3,1,2,3,2,1,2,1,3,1.5584854,-.18181866,-.39816651
92,1,2,1,2,2,1,1,3,2,2,1,3,2,2,1,1,2,3,.93433887,-.72431529,-.39816651
93,0,1,1,3,0,1,1,2,3,1,1,3,3,3,2,1,2,3,.95408219,-.39385816,-.19963144
94,0,2,1,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,.30029538,-.6404233,.32229173
95,0,2,1,2,2,1,1,0,2,3,1,3,0,3,1,2,1,0,-2.0075986,.48924264,-.39816651
96,1,2,1,2,2,0,1,1,2,3,1,2,1,1,1,1,1,1,-.67925137,-.78263736,-.71527869
98,0,2,1,2,2,2,3,3,3,2,3,3,3,3,2,3,2,2,1.1242504,.16463797,1.4620366
99,0,1,1,2,2,3,2,3,3,3,3,3,3,2,2,3,3,2,1.1242504,.035898861,1.3165559
100,0,2,1,3,2,2,2,2,2,3,2,3,2,3,2,3,3,3,.51666284,1.1779282,.78642613
101,0,2,1,2,1,1,1,3,3,3,2,3,2,2,2,2,3,2,.64446807,-.18181866,.143538
102,1,2,1,3,3,1,2,1,3,3,1,1,3,3,0,2,0,0,-.23715805,.696024,-.11740933
103,0,2,1,2,2,1,1,1,1,2,1,2,1,2,1,2,1,1,-.67925137,-.55206549,-.39816651
104,0,1,1,2,2,3,3,0,3,2,3,3,1,0,,0,3,1,-1.0367966,-1.6170015,1.9630286
105,0,1,1,1,2,3,2,1,3,3,3,3,2,3,3,3,3,1,-.27041367,.74519873,1.5370858
106,0,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,1.5584854,1.1779282,2.1203892
107,0,2,1,1,1,0,0,0,1,2,1,1,2,2,2,1,1,2,-.24741247,-.81520921,-1.0235567
108,0,2,1,3,1,1,0,1,3,3,0,2,1,3,0,3,0,0,-.92631775,1.1779282,-1.5268316
109,0,2,1,3,1,1,0,0,3,3,0,2,0,3,3,2,0,0,-2.0075986,.696024,-.97973675
110,0,2,1,3,2,1,1,2,3,3,0,3,3,3,3,3,3,2,.64843237,1.1779282,-.40407664
112,0,2,1,3,2,2,2,2,3,3,3,3,1,3,2,2,2,3,.13534772,.696024,1.0622228
113,1,1,1,2,2,1,2,3,1,3,2,3,3,3,1,2,0,3,1.5584854,.48924264,.37111124
