Folio,Escuela,Género,Edad,Ag1,Ag2,Ag3,Ag4,Ag5,Ag6,Ag7,Ag8,Ag9,Ag10,Ag11,Ag12,Ag13,Ag14,Ag15,Ag16,Ag17,Ag18,Ag19,Ag20,Ag21,Ag22,Ag23,Ag24A,Ag24B,Ag24C,Ag24D,Ag24E,Ag25,Ag26,Ag27,Ag28,Ag29,Ag30,Ag31,Ag32,Ag33,Ag34,Ag35,Ag36,Ag37,Ag38,Ag39,Ag40,Ag41,Ag42,Ag43,Ag44,Ag45,Ag46,Ag47,Ag48,Ag49,Ag50,Ag51,Ag52,Ag53,Ag54,Ag55,Ag56,AgrBer,AgrProv,AgrFuria,PrConsNegAgr,ImpConsNegAgr,ExpConsNegAgr
422,1,1,1,3,3,2,0,0,2,1,2,3,3,2,2,3,3,1,2,3,0,2,2,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,.0723155289888382,.06027035,-.060695779,20,0,0
423,1,0,1,1,1,2,1,1,3,1,3,3,2,3,3,1,3,2,1,3,4,0,3,2,0,0,0,0,0,0,1,0,0,1,1,1,1,0,3,3,1,3,3,3,2,0,0,0,1,0,2,0,0,2,0,2,3,1,2,0,0,0,2,1.269083499908447,.0093125962,.21136737,21,19,5
424,1,0,2,1,0,1,1,0,3,0,2,3,2,3,1,2,3,1,1,1,0,0,2,2,0,1,1,0,0,0,0,0,0,1,0,2,1,0,1,1,1,1,3,2,1,0,0,2,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,.015108740888536,-.47517884,-.72042376,19,11,3
425,1,0,1,1,0,1,1,2,0,2,0,1,0,1,0,1,0,1,2,2,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-.628503680229187,-.92270309,-.72042376,3,5,0
426,3,1,1,3,4,1,1,2,0,0,0,0,0,0,0,0,3,0,0,4,1,3,3,0,3,3,0,1,0,0,0,3,1,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,1,1,1,0,0,-.5373052954673767,1.0891306,.54751509,3,3,6
427,3,1,0,0,1,1,1,1,3,3,3,3,3,2,2,2,3,2,2,3,4,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,0,0,0,0,0,0,0,0,2,-1.234678745269775,-.92270309,.21136737,21,21,21
428,3,0,0,0,1,0,1,1,3,0,3,3,3,2,1,2,3,2,0,4,4,0,3,3,3,0,1,0,0,0,0,0,0,1,0,1,3,0,3,1,3,3,3,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-.628503680229187,-.47517884,-.72042376,20,21,0
429,3,0,0,0,3,3,1,1,2,1,1,3,0,1,1,2,2,3,2,3,4,0,2,2,0,0,1,0,0,0,0,2,2,1,0,1,2,2,2,2,2,2,2,2,2,2,3,1,1,0,1,0,1,1,1,2,3,1,2,1,1,0,1,1.269083499908447,1.1500251,.87201536,12,16,7
430,3,0,0,2,1,0,1,1,3,1,3,3,1,3,3,3,3,0,0,4,1,3,3,3,2,0,0,0,0,0,1,1,0,1,0,1,3,0,0,0,0,2,1,1,3,3,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,-.2344677299261093,.13605925,.071426168,22,10,6
431,3,1,1,1,1,1,0,1,3,0,1,2,0,1,1,2,2,2,2,2,1,3,2,1,2,0,0,1,0,0,0,2,2,3,2,3,2,0,2,3,1,1,3,0,0,2,1,1,1,1,3,3,3,2,1,2,2,0,0,1,2,1,0,.2576315104961395,1.6879975,.92290616,12,12,16
432,3,1,1,1,0,1,1,1,3,0,3,1,3,3,3,2,2,0,0,4,0,0,0,3,3,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,.0229072943329811,.13605925,.071426168,20,3,1
433,1,0,1,2,2,1,2,1,3,0,1,3,3,1,3,3,3,3,3,4,2,2,1,0,3,2,0,1,0,0,1,1,1,0,0,0,3,0,0,2,2,2,3,3,3,0,0,0,1,0,0,0,1,3,0,2,3,0,2,0,1,0,1,1.071652889251709,.47635809,.45600644,20,18,5
434,1,0,1,1,0,1,1,1,3,0,3,2,2,3,2,3,3,2,1,4,2,0,3,2,1,0,1,0,0,0,0,0,0,1,0,1,2,0,0,2,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,.3826938569545746,-.47517884,-.72042376,21,9,1
435,1,0,1,1,1,0,2,0,0,0,1,2,1,1,1,0,2,0,0,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,2,3,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,.1042803674936295,-.92270309,-.72042376,8,15,0
436,1,0,1,1,1,1,1,1,3,2,2,3,2,2,1,2,2,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,1,0,1,3,1,2,1,3,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-.628503680229187,-.47517884,-.13965733,17,18,0
437,1,0,1,0,2,0,1,0,2,1,3,3,2,2,3,3,3,2,2,3,1,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-.5373052954673767,-.92270309,-.72042376,21,8,0
438,1,0,1,2,2,0,1,1,3,0,2,3,3,3,3,3,3,3,2,3,4,0,2,2,0,1,0,0,0,0,1,0,2,1,0,0,2,0,2,3,3,3,0,3,3,0,0,0,2,0,0,0,0,2,0,2,2,1,1,2,1,0,1,.8503924608230591,.51721418,1.1327405,23,19,4
439,1,0,1,0,1,0,1,0,2,0,2,2,2,0,0,2,2,3,1,3,2,0,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,0,2,1,3,1,2,1,3,0,0,0,0,0,0,0,0,2,0,3,2,1,2,0,0,0,0,1.303022265434265,-.92270309,-.72042376,12,16,2
440,1,0,1,1,1,0,1,1,2,1,2,2,2,2,1,2,1,1,1,2,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-.5373052954673767,-.92270309,-.72042376,14,16,0
441,1,1,1,2,2,0,1,1,3,0,3,2,2,3,2,2,3,1,1,3,3,0,2,2,0,1,0,0,0,0,1,0,0,0,0,0,3,2,3,2,3,3,3,2,2,2,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,-.3742443025112152,-.92270309,-.72042376,20,21,5
442,1,0,1,3,1,0,0,0,3,1,2,3,3,3,3,3,3,2,2,4,2,2,3,3,2,2,0,1,1,0,1,0,1,0,0,0,3,1,2,3,2,3,2,3,3,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,0,0,0,1.099730730056763,.06027035,.20945761,23,21,0
443,1,1,1,2,1,1,1,0,2,0,0,2,2,2,0,1,2,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,2,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.234678745269775,-.92270309,-.72042376,11,12,0
444,1,0,1,1,1,0,1,2,3,0,3,3,3,3,3,3,3,1,1,3,0,0,3,3,0,0,1,0,0,0,0,0,0,1,0,1,3,1,3,2,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-.2344677299261093,-.47517884,-.72042376,24,23,0
445,1,1,2,1,1,1,1,1,3,2,2,3,2,2,2,2,2,3,0,0,0,1,2,2,1,0,0,0,0,0,1,0,0,0,0,0,3,1,3,2,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-.6260668635368347,-.92270309,-.72042376,18,23,0
446,1,1,2,1,1,0,1,1,3,0,3,3,3,3,3,3,3,2,0,3,0,1,3,3,1,0,0,1,0,0,0,0,0,0,0,0,2,0,3,3,3,3,3,3,3,0,0,0,1,0,0,0,0,0,0,2,2,1,1,0,0,0,0,.8503924608230591,-.92270309,-.72042376,24,23,1
447,1,0,1,0,1,0,1,1,3,2,2,3,3,2,1,3,2,0,1,4,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,3,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-.6260668635368347,-.92270309,-.72042376,19,15,0
448,1,0,1,0,1,0,1,1,3,0,2,3,2,2,2,2,2,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.234678745269775,-.92270309,-.72042376,18,15,0
449,1,0,1,0,1,1,2,1,2,0,0,3,2,2,1,2,2,0,1,3,1,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,1,1,2,2,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,.4094936847686768,-.92270309,-.72042376,14,10,1
450,1,1,1,0,1,0,1,0,3,1,3,1,3,3,1,3,3,1,3,4,0,2,3,2,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,-.1593618392944336,-.26885733,-.13965733,20,5,0
451,1,0,1,1,1,1,1,1,2,0,2,2,2,2,2,2,3,1,1,3,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,3,2,1,2,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,-.2344677299261093,-.92270309,-.72042376,17,15,1
452,1,0,1,0,1,1,1,3,3,0,3,3,3,3,2,3,3,1,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,1,0,2,0,2,1,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.234678745269775,-.26885733,-.72042376,23,12,0
