Folio,Escuela,Género,Edad,Sex1,Sex2,Sex3,Sex4,Sex5,Sex6,Sex7,Sex8,Sex9,Sex10,Sex11,Sex12,Sex13,Sex14,Sex15,Sex16,Sex17,Sex18,Sex19,Sex20,Sex21,Sex22,Sex23,Sex24,Sex25,Sex26,Sex27,Sex28,Sex29,Sex30,Sex31,Sex32,Sex33,Sex34,Sex35,Sex36,Sex37,Sex38,Sex39,Sex40,Sex41,Sex42,Sex43,Sex44,Sex45,Sex46A,Sex46B,Sex46C,Sex46D,Sex46E,Sex47,Sex48,Sex49,Sex50,Sex51,Sex52,Sex53,Sex54,Sex55,Sex56,Sex57,Sex58,Sex59,Sex60,Sex61,Sex62,Sex63,Sex64,Sex65,Sex66,Sex67,Sex68,Sex69,Sex70,Sex71,Sex72,Sex73,Sex74,Sex75,PrConsPosSex,PrConsNegSex,ImpConsPosSex,ImpConsNegSex,ExpConsPosSex,ExpConsNegSex,SexCompromiso,SexIncid
1554,8,0,1,3,1,2,1,0,2,0,1,0,2,0,0,3,1,3,1,2,1,3,2,2,2,3,1,2,2,2,3,0,2,0,3,1,3,3,1,2,1,1,0,2,2,4,3,4,0,1,0,0,0,2,0,2,2,2,2,1,1,2,2,2,2,2,3,0,0,2,0,1,1,1,1,2,3,3,1,1,1,2,3,13,5,12,5,0,-.2109367847442627,.83395416
448,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0,2,0,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,3,3,3,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,10,5,10,0,0,,-.86504501
923,7,0,1,1,0,1,3,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,3,3,3,3,,,3,1,1,0,1,0,0,4,0,0,0,0,0,0,3,2,9,15,9,15,0,0,,-.86504501
1556,8,0,1,0,0,1,2,0,0,0,0,0,0,0,0,3,3,3,2,2,1,3,3,3,1,0,2,0,2,0,0,1,2,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,3,3,3,3,3,3,1,1,0,0,0,0,4,0,0,0,0,0,0,3,2,6,14,5,3,0,0,,-1.2970114
1273,8,0,1,1,0,1,2,0,1,0,0,0,0,0,0,3,0,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,1,0,1,1,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,3,2,0,0,3,3,3,3,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,4,14,9,15,1,0,,-.86504501
175,2,0,1,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,3,0,0,0,3,3,4,1,2,1,1,1,0,2,2,4,4,1,0,0,0,0,4,0,2,1,1,3,0,0,0,0,3,3,2,2,0,1,2,0,1,2,2,4,2,3,3,3,3,3,0,0,1,6,10,0,0,,.87676251
491,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1353,8,0,1,3,0,2,3,1,2,0,2,0,2,0,0,3,3,3,1,2,0,3,3,3,2,3,2,3,2,3,3,0,2,0,2,2,3,3,2,2,1,0,1,3,1,4,4,4,1,0,0,0,0,3,0,3,2,2,3,1,2,3,1,3,1,1,3,0,1,2,0,1,4,1,1,2,4,4,3,3,3,1,4,14,6,15,6,1,-.2628363966941833,.99262911
1354,8,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,9,15,0,0,,-1.2970114
425,1,0,1,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,3,1,1,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,3,3,0,1,3,3,3,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,,-.86504501
293,2,0,1,3,0,1,3,1,3,0,2,0,3,0,0,3,3,3,3,3,3,3,3,2,1,2,1,1,1,1,2,0,1,2,1,0,3,3,1,3,0,0,1,3,1,4,2,4,0,0,1,0,0,2,0,4,1,0,0,0,0,3,3,3,3,3,3,1,0,1,0,2,5,3,1,1,3,1,2,2,2,0,9,15,3,8,8,1,1.283545017242432,.85488749
178,2,0,1,3,1,3,3,3,3,0,3,0,3,3,0,3,1,3,1,3,1,3,3,3,3,3,3,1,3,3,1,0,3,0,2,0,3,4,2,3,1,1,1,3,0,4,4,4,0,0,0,0,1,0,0,2,4,2,2,1,0,3,3,3,3,3,3,0,0,2,0,1,5,1,1,2,4,4,3,3,3,2,3,15,9,11,9,6,1.283545017242432,1.0707338
117,1,0,1,3,1,3,2,1,2,0,1,0,0,0,0,3,0,3,0,3,0,3,3,3,3,3,0,3,0,3,3,0,1,0,0,3,3,4,2,2,0,1,1,1,2,4,4,4,1,1,0,1,0,2,0,2,3,2,3,1,2,2,0,3,2,2,1,0,0,1,0,1,2,2,2,2,3,3,3,1,0,2,0,15,3,15,3,1,-.5650938153266907,1.0405145
528,5,0,1,3,0,4,1,2,2,1,3,0,3,0,1,3,2,3,2,3,3,3,3,2,3,3,3,2,3,3,3,1,3,1,3,1,3,5,1,1,1,1,1,3,1,4,3,4,0,1,0,0,0,0,0,3,2,0,1,0,0,0,0,2,1,2,2,0,0,0,1,1,0,3,4,4,3,3,1,1,1,2,7,15,9,13,8,4,-.9304181337356567,.83681828
18,1,0,1,2,0,3,2,1,1,0,2,0,2,0,0,3,2,3,1,2,1,3,3,3,2,3,2,3,2,3,3,1,3,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,0,2,3,3,2,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,4,14,6,15,5,1,.8210962414741516,-.72071743
69,1,0,1,3,0,2,3,0,2,0,2,0,1,0,0,2,0,3,1,2,1,3,3,3,2,3,2,1,2,3,3,0,2,1,1,2,3,2,2,1,0,0,1,3,1,4,4,4,1,0,0,1,0,0,0,1,1,2,2,1,2,3,3,3,3,3,3,0,1,2,0,1,1,0,0,1,4,4,3,1,1,2,2,13,6,13,5,0,1.283545017242432,.73491824
929,7,0,1,0,0,4,3,0,0,0,0,0,0,0,0,3,2,3,3,3,3,3,3,2,0,2,1,3,1,3,3,0,1,2,3,2,1,4,2,1,1,1,0,2,0,2,3,1,1,0,0,0,0,2,3,2,0,0,3,2,1,3,0,2,2,0,2,1,1,1,0,1,2,0,1,1,4,2,0,1,3,1,8,15,2,13,0,0,,.37567413
1540,8,0,1,1,0,0,2,0,0,0,0,0,0,0,0,2,1,2,1,2,1,3,2,3,0,3,0,3,0,3,3,1,2,0,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,3,3,0,3,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,3,2,3,11,0,15,0,0,,-.86504501
772,7,0,1,0,0,0,1,0,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,2,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,9,15,,0,,-1.2970114
1539,8,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,1,2,1,1,1,2,2,2,2,3,2,3,3,3,2,1,2,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,0,3,3,3,3,3,3,1,1,0,0,0,0,0,1,0,0,0,0,0,1,2,3,9,7,13,0,0,,-.49933982
1065,6,0,1,2,0,2,2,1,0,0,1,0,1,0,0,3,1,3,0,2,1,3,3,3,2,3,2,2,3,2,3,0,2,1,3,2,3,4,1,3,0,1,0,3,1,4,4,4,1,0,0,1,0,0,0,2,1,1,2,1,2,3,2,3,3,1,3,0,0,2,0,1,1,4,1,2,3,3,1,1,2,2,2,14,7,13,2,1,.2470005750656128,.90003061
233,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,3,1,3,1,3,1,3,3,2,2,3,2,0,2,0,3,3,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,0,3,3,3,3,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3,15,6,8,0,0,,-1.2970114
124,1,0,1,1,0,3,2,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,2,3,2,2,2,2,3,1,1,0,1,0,0,4,1,2,0,0,1,1,1,4,4,4,1,0,0,0,0,3,0,2,3,2,2,0,1,3,3,3,2,3,3,1,1,2,0,1,0,0,0,1,4,4,3,3,2,0,3,0,6,13,2,0,,.70174861
1553,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,1,3,1,0,1,3,3,3,2,3,2,3,1,3,3,0,3,0,2,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,3,3,3,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,3,12,5,15,0,0,,-1.2970114
810,7,0,1,0,0,1,2,0,0,0,0,0,0,0,0,3,1,3,2,2,0,3,3,3,1,3,1,2,1,3,3,2,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,3,3,0,3,3,3,3,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,3,14,3,14,0,0,,-1.2970114
408,3,0,1,0,0,1,2,0,0,0,0,0,0,0,0,2,2,2,2,0,0,2,2,3,1,3,2,2,2,0,2,3,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,3,3,0,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,,2,2,4,8,5,10,0,0,,-1.2970114
1383,8,0,1,3,0,2,1,0,2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,2,1,2,1,2,1,2,4,1,3,0,1,1,3,1,4,3,4,0,1,0,0,0,1,0,4,3,1,2,2,0,2,1,0,0,1,1,0,0,1,0,1,2,4,1,2,3,2,2,1,2,2,3,5,3,10,2,0,-1.162473559379578,.86622268
