Folio,Sexo,Edad,Escuela,P1,P2,P3,Psum,ThetaCR
445,1,2,1,0,0,0,0,-.38948628
446,1,2,1,0,0,0,0,-.38948628
447,0,1,1,0,0,0,0,-.38948628
448,0,1,1,0,0,0,0,-.38948628
449,0,1,1,0,1,0,1,1.1835277
450,1,1,1,0,0,0,0,-.38948628
451,0,1,1,1,0,1,2,.64354634
452,0,1,1,0,0,0,0,-.38948628
453,0,1,1,0,0,0,0,-.38948628
454,0,1,1,0,0,0,0,-.38948628
455,1,1,1,0,0,0,0,-.38948628
456,1,1,1,0,0,0,0,-.38948628
457,1,1,1,0,0,1,1,.38204196
458,1,1,1,1,1,0,2,1.3746766
459,0,1,1,1,1,0,2,1.3746766
460,0,1,1,0,0,0,0,-.38948628
461,0,2,1,0,0,0,0,-.38948628
462,0,2,1,0,0,0,0,-.38948628
463,0,1,1,0,0,1,1,.38204196
464,0,1,1,0,0,0,0,-.38948628
465,1,3,1,1,0,1,2,.64354634
466,0,1,1,0,0,0,0,-.38948628
467,0,1,1,0,0,0,0,-.38948628
468,0,1,1,0,0,0,0,-.38948628
469,1,2,4,,1,0,,1.2625208
470,0,1,4,0,0,0,0,-.38948628
471,0,1,4,0,0,0,0,-.38948628
472,1,3,4,0,0,0,0,-.38948628
473,0,1,4,0,0,0,0,-.38948628
474,0,1,4,0,0,0,0,-.38948628
475,0,2,4,0,0,0,0,-.38948628
476,1,2,4,0,0,0,0,-.38948628
477,0,1,4,0,0,0,0,-.38948628
478,0,3,4,0,0,0,0,-.38948628
479,0,1,4,0,0,0,0,-.38948628
480,0,3,4,0,0,0,0,-.38948628
481,1,2,4,0,0,0,0,-.38948628
482,1,3,4,0,0,0,0,-.38948628
483,1,2,4,0,0,0,0,-.38948628
484,1,1,4,0,0,0,0,-.38948628
485,1,1,4,0,0,0,0,-.38948628
486,1,1,4,0,0,0,0,-.38948628
487,0,2,4,0,0,0,0,-.38948628
488,0,1,4,0,0,0,0,-.38948628
489,0,1,4,0,0,0,0,-.38948628
490,0,1,4,0,0,0,0,-.38948628
491,0,1,4,0,0,0,0,-.38948628
492,1,1,4,0,0,0,0,-.38948628
493,0,1,4,0,0,0,0,-.38948628
494,0,1,4,0,0,0,0,-.38948628
495,0,1,4,0,0,0,0,-.38948628
496,1,1,4,0,0,0,0,-.38948628
497,0,3,4,0,0,0,0,-.38948628
498,1,2,4,0,0,0,0,-.38948628
499,1,1,4,0,0,0,0,-.38948628
500,1,2,4,0,0,0,0,-.38948628
501,1,1,4,0,0,0,0,-.38948628
502,1,1,4,0,0,0,0,-.38948628
503,1,1,4,0,0,0,0,-.38948628
504,0,1,4,0,0,0,0,-.38948628
505,0,1,4,0,0,0,0,-.38948628
506,,,4,0,0,0,0,-.38948628
507,0,1,4,0,0,0,0,-.38948628
508,0,1,4,0,0,0,0,-.38948628
509,0,1,4,0,0,0,0,-.38948628
510,0,1,4,0,0,0,0,-.38948628
511,1,1,4,0,0,0,0,-.38948628
512,0,2,4,1,1,0,2,1.3746766
513,1,1,5,0,0,0,0,-.38948628
514,0,1,5,0,0,0,0,-.38948628
515,0,1,5,0,0,0,0,-.38948628
516,0,1,5,0,0,0,0,-.38948628
517,1,2,5,0,0,0,0,-.38948628
518,1,1,5,0,0,0,0,-.38948628
519,0,1,5,0,0,0,0,-.38948628
520,0,1,5,0,0,0,0,-.38948628
521,1,3,5,0,0,0,0,-.38948628
522,1,2,5,0,0,0,0,-.38948628
523,0,1,5,0,0,0,0,-.38948628
524,0,1,5,0,0,0,0,-.38948628
525,0,1,5,0,0,0,0,-.38948628
526,0,0,5,0,0,0,0,-.38948628
527,0,1,5,0,0,0,0,-.38948628
528,0,1,5,0,0,0,0,-.38948628
529,0,1,5,0,0,0,0,-.38948628
530,1,1,5,1,0,0,1,.28402048
531,0,1,5,0,0,0,0,-.38948628
532,1,2,5,0,1,0,1,1.1835277
538,0,1,5,0,0,0,0,-.38948628
539,0,1,5,0,0,0,0,-.38948628
540,0,1,5,0,0,0,0,-.38948628
541,1,1,5,0,0,0,0,-.38948628
