Folio,Género,Edad,Escuela,Tab1,Tab2,Tab3,Tab4,Tab5,Tab6,Tab7,Tab8,Tab9,Tab10,Tab11,Tab12,Tab13,Tab14,Tab15,Tab16,Tab17,Tab18,Tab19,Tab20,Tab21,Tab22,Tab23,Tab24,Tab25,Tab26,Tab27,Tab28,Tab29,Tab30,Tab31,Tab32,Tab33,Tab34,Tab35,Tab36,Tab37,Tab38,Tab39,Tab40,Tab41,Tab42,Tab43,Tab44,Tab45,Tab46,Tab47,Tab48A,Tab48B,Tab48C,Tab48D,Tab48E,Tab48F,Tab48G,Tab49,Tab50,Tab51,Tab52,Tab53,Tab54,Tab55,PrConsPosTab,PrConsNegTab,ImpConsPosTab,ImpConsNegTab,ExpConsPosTab,ExpConsNegTab,CommitTab,TabIncid,PrConsPosTabCP,PrConsPosTabLP,ImpConsPosTabCP,ImpConsPosTabLP,ExpConsPosTabCP,ExpConsPosTabLP
1334,1,1,8,1,1,3,0,3,3,3,1,2,2,2,1,2,1,2,2,2,1,2,2,2,1,2,1,2,3,3,2,4,1,2,2,1,1,1,1,1,1,1,3,4,3,2,4,7,4,4,0,1,0,0,0,0,0,2,2,2,3,2,2,2,12,8,10,7,8,4,-.09920644,1.6796507,5,4,4,4,3,2
1335,0,1,8,1,0,2,1,2,1,1,1,0,2,1,1,2,0,3,1,2,2,0,2,2,1,2,2,1,5,1,1,1,0,0,0,0,0,0,0,0,0,0,1,3,1,1,2,1,3,1,1,0,0,0,0,0,0,4,3,4,3,3,3,3,4,7,8,9,0,0,.91773736,1.0303559,3,4,7,4,0,0
1336,0,1,8,0,0,2,4,3,1,1,3,0,3,0,3,2,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,11,18,12,0,0,,-.3123751,9,5,9,6,0,0
1337,1,1,8,0,0,2,4,2,1,1,2,1,3,1,1,3,1,3,1,3,3,2,3,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,10,12,12,0,0,,-.3123751,5,6,8,6,0,0
1338,0,1,8,0,0,0,4,3,1,1,2,1,3,1,1,3,2,3,3,2,3,3,3,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,11,15,12,0,0,,-.3123751,7,6,8,6,0,0
1340,0,1,8,0,0,3,4,,,0,,,,,0,,,2,0,0,0,0,2,0,0,3,0,1,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,0,7,,,,.37359414,0,0,2,5,0,0
1341,0,1,8,0,1,3,4,3,1,1,3,1,3,2,0,2,3,1,0,0,0,0,3,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,11,5,7,0,0,,-.3123751,9,5,4,6,0,0
1342,0,1,8,0,0,0,4,2,0,0,2,0,3,0,1,3,1,0,3,0,3,1,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,10,7,9,0,0,,-.3123751,5,6,3,6,0,0
1343,0,1,8,0,0,0,4,2,0,0,0,0,3,0,0,3,0,2,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,8,0,0,,-.3123751,2,6,2,6,0,0
1345,0,1,8,0,0,2,4,3,0,0,0,0,3,0,0,3,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,9,0,0,,-.3123751,3,6,3,6,0,0
