Ensayo,Estimulo,Respuesta,Correcto,Aciertos,Errores,Hits,ContadorH,Rechazos,ContadorR,Falsas.alarmas,ContadorF,Omisiones,ContadorM,Confidence,RTime1,RTime1b,RTime2,facilidad,num_circulos_externos,tam_circulos_externos,tamano_central,senal,color,tipo,choice,Exito,outcome,HR6,FR6,HR5,FR5,HR4,FR4,HR3,FR3,HR2,FR2,HR1,FR1
436,598,n,True,418,19,False,197,True,221,False,2,False,17,1,1.640225887,0.139121056,0.400958061,muchos,8,under,1.5,ruido,purpura,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
437,41,s,True,419,19,True,198,False,221,False,2,False,17,6,1.652616024,0.151484013,0.301793098,pocos,3,over,2_o3,senal,naranja,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
438,99,s,True,420,19,True,199,False,221,False,2,False,17,6,1.65146184,0.151131153,0.300858021,pocos,2,under,2_u2,senal,guinda,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
439,84,s,True,421,19,True,200,False,221,False,2,False,17,6,1.651793957,0.150712013,0.501157999,pocos,2,under,2_u2,senal,azul,4 AS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
440,348,s,True,422,19,True,201,False,221,False,2,False,17,6,1.651546001,0.150398016,0.300752163,muchos,7,over,2_o2,senal,purpura,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
441,430,s,True,423,19,True,202,False,221,False,2,False,17,6,1.638029814,0.136833191,0.302290916,muchos,7,under,2_u2,senal,guinda,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
442,317,n,True,424,19,False,202,True,222,False,2,False,17,1,1.651844025,0.15061307,0.401294947,pocos,3,under,1,ruido,purpura,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
443,417,s,True,425,19,True,203,False,222,False,2,False,17,6,2.447720051,0.94657588,0.601742983,muchos,7,under,2_u2,senal,purpura,3 BS,1,1,4,1,0,1,0,1,0,1,0,1,0,1,0
444,631,n,True,426,19,False,203,True,223,False,2,False,17,1,1.65187192,0.150748014,1.604726076,muchos,8,under,1,ruido,naranja,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
445,245,n,True,427,19,False,203,True,224,False,2,False,17,1,1.652770042,0.151659966,0.300934076,pocos,2,over,1.5,ruido,verde,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
446,289,n,True,428,19,False,203,True,225,False,2,False,17,1,1.651975155,0.150935888,0.501493931,pocos,2,over,1,ruido,guinda,1 AN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
447,484,n,True,429,19,False,203,True,226,False,2,False,17,1,2.152948141,0.651792049,0.501556158,muchos,7,over,3,ruido,azul,2 BN,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
